Timestamp,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage,Labels
0,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24,0
0.04599761963,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24,0
0.1510009766,-107,0,0,0,0,0,-1268,0,0,-26,84,11,0,7168,26,0,7720,24,0
0.2060012817,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26,0
0.263999939,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26,0
0.3170013428,-107,0,0,0,0,0,-1268,0,0,29,21725,54,0,6726,26,0,10756,26,0
0.3850021362,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24,0
0.4319992065,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24,0
0.5349960327,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24,0
0.5909957886,-107,0,0,0,0,0,-1268,0,0,107,23072,56,0,6726,26,0,7408,24,0
0.6370010376,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24,0
0.7060012817,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24,0
0.7620010376,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24,0
0.8219985962,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24,0
0.8769989014,-107,0,0,0,0,0,-1268,0,0,185,22904,56,0,6232,26,0,7408,24,0
0.9209976196,-107,0,0,0,0,0,-1268,0,0,263,27480,58,0,6232,26,0,10366,26,0
0.96900177,-107,0,0,0,0,0,-1268,0,0,263,27480,58,0,6232,26,0,10366,26,0
1.053001404,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26,0
1.112998962,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26,0
1.223999023,-107,0,0,0,0,0,0,8,1,342,19332,54,0,6232,26,0,7048,26,0
1.279998779,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24,0
1.323997498,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24,0
1.380996704,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24,0
1.428001404,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24,0
1.540000916,-107,0,0,0,0,0,54,17875,55,420,19768,55,0,8364,26,0,7048,24,0
1.583999634,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24,0
1.642997742,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24,0
1.694000244,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24,0
1.75,-107,0,0,0,0,0,132,18684,54,498,18700,56,0,13402,27,0,7048,24,0
1.805000305,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24,0
1.916999817,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24,0
1.960998535,-107,0,0,0,0,0,210,23722,58,571,4340,31,0,19867,27,0,10366,24,0
1.993995667,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24,0
2.067001343,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24,0
2.124000549,-107,0,0,0,0,0,289,20628,54,581,112,2,0,25884,29,0,10366,24,0
2.222999573,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59,0
2.290000916,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59,0
2.333999634,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59,0
2.394996643,-107,0,0,0,0,0,366,20034,52,581,47,1,0,27320,60,0,17249,59,0
2.444000244,-107,0,0,0,0,0,395,724,3,581,28,1,-175,27044,410,-179,30475,382,0
