Date/Time,Wind Speed (m/s),Theoretical_Power_Curve (KWh),Wind Direction (°),LV ActivePower (kW)
01 01 2018 00:00,5.31133604,416.3289078,259.9949036,380.0477905
01 01 2018 00:10,5.672166824,519.9175111,268.6411133,453.7691956
01 01 2018 00:20,5.216036797,390.9000158,272.5647888,306.3765869
01 01 2018 00:30,5.659674168,516.127569,271.2580872,419.6459045
01 01 2018 00:40,5.577940941,491.702972,265.6742859,380.6506958
01 01 2018 00:50,5.604052067,499.436385,264.5786133,402.3919983
01 01 2018 01:00,5.793007851,557.3723633,266.1636047,447.6057129
01 01 2018 01:10,5.306049824,414.8981788,257.9494934,387.2421875
01 01 2018 01:20,5.584629059,493.6776521,253.4806976,463.6512146
01 01 2018 01:30,5.523228168,475.7067828,258.7237854,439.725708
01 01 2018 01:40,5.724115849,535.841397,251.8509979,498.1817017
01 01 2018 01:50,5.934198856,603.0140765,265.5046997,526.8162231
01 01 2018 02:00,6.547413826,824.6625136,274.2329102,710.5872803
01 01 2018 02:10,6.199746132,693.4726411,266.7331848,655.1942749
01 01 2018 02:20,6.505383015,808.0981385,266.7604065,754.7625122
01 01 2018 02:30,6.634116173,859.4590208,270.4931946,790.1732788
01 01 2018 02:40,6.378912926,759.4345366,266.5932922,742.9852905
01 01 2018 02:50,6.446652889,785.2810099,265.5718079,748.2296143
01 01 2018 03:00,6.415082932,773.1728635,261.1586914,736.6478271
01 01 2018 03:10,6.437530994,781.7712157,257.5602112,787.2462158
01 01 2018 03:20,6.220024109,700.7646999,255.9264984,722.8640747
01 01 2018 03:30,6.89802599,970.7366269,250.0128937,935.0333862
01 01 2018 03:40,7.60971117,1315.048928,255.9857025,1220.609009
01 01 2018 03:50,7.288355827,1151.265744,255.4445953,1053.771973
01 01 2018 04:00,7.943101883,1497.583724,256.4074097,1493.807983
01 01 2018 04:10,8.376161575,1752.199662,252.4125977,1724.488037
01 01 2018 04:20,8.23695755,1668.470707,247.9794006,1636.935059
01 01 2018 04:30,7.879590988,1461.815791,238.6096039,1385.488037
01 01 2018 04:40,7.101376057,1062.285034,245.0955963,1098.932007
01 01 2018 04:50,6.955307007,995.9958546,245.410202,1021.458008
01 01 2018 05:00,7.098298073,1060.859712,235.2279053,1164.892944
01 01 2018 05:10,6.953630924,995.2509608,242.8726959,1073.332031
01 01 2018 05:20,7.249577999,1132.416861,244.8356934,1165.307983
01 01 2018 05:30,7.294691086,1154.365305,242.4815979,1177.98999
01 01 2018 05:40,7.376369953,1194.843099,247.9772034,1170.536011
01 01 2018 05:50,7.448554039,1231.430706,249.6829987,1145.536011
01 01 2018 06:00,7.23925209,1127.433206,248.401001,1114.026978
01 01 2018 06:10,7.329211235,1171.355044,244.6217041,1153.185059
01 01 2018 06:20,7.139705181,1080.139085,244.6318054,1125.331055
01 01 2018 06:30,7.474228859,1244.633534,245.7859955,1228.732056
01 01 2018 06:40,7.033174038,1030.992686,248.6522064,1021.79303
01 01 2018 06:50,6.886455059,965.6833344,244.6116943,957.3781738
01 01 2018 07:00,6.887821198,966.2791049,235.8482971,909.8878174
01 01 2018 07:10,7.216432095,1116.471899,232.8426971,1000.953979
01 01 2018 07:20,7.068597794,1047.170231,229.933197,1024.478027
01 01 2018 07:30,6.938295841,988.4519407,230.1367035,1009.533997
01 01 2018 07:40,6.536687851,820.4166586,234.9338074,899.492981
01 01 2018 07:50,6.180624962,686.6369422,232.8379059,725.1101074
01 01 2018 08:00,5.816825867,564.9276595,240.3287964,585.2593994
01 01 2018 08:10,5.450150967,454.7735871,238.126297,443.9139099
01 01 2018 08:20,5.81814909,565.3490932,235.800293,565.2537842
01 01 2018 08:30,6.130272865,668.8235693,224.9586945,644.0377808
01 01 2018 08:40,6.347077847,747.4606734,216.803894,712.0588989
01 01 2018 08:50,6.347436905,747.5951091,205.7852936,737.3947754
01 01 2018 09:00,6.194368839,691.5463343,199.8484955,725.868103
01 01 2018 09:10,4.977198124,330.4176304,207.9978027,408.997406
01 01 2018 09:20,5.959111214,611.2838365,210.954895,628.4368286
01 01 2018 09:30,6.21137619,697.6494744,215.6940002,716.1005859
01 01 2018 09:40,6.111453056,662.235163,220.8426056,711.4956055
01 01 2018 09:50,6.456322193,789.0114224,237.0653076,838.1519165
01 01 2018 10:00,6.666657925,872.7396259,235.6674957,881.0620728
01 01 2018 10:10,6.16287899,680.3278917,229.3296967,663.703125
01 01 2018 10:20,6.013167858,628.4425608,234.9006042,578.2615967
01 01 2018 10:30,5.561203003,486.7795676,230.4228058,465.6200867
01 01 2018 10:40,4.960731983,326.4110254,229.5375061,311.0509033
01 01 2018 10:50,4.60387516,244.3162442,231.7984924,230.0554962
01 01 2018 11:00,4.554533958,233.6327805,234.1056061,233.9906006
01 01 2018 11:10,4.26362896,173.5736631,228.7767029,175.5921936
01 01 2018 11:20,3.894139051,108.5712211,227.9389954,118.1331024
01 01 2018 11:30,4.038761139,130.2299896,224.4649963,142.2024994
01 01 2018 11:40,4.505650997,223.1967841,224.9505005,212.5661926
01 01 2018 11:50,4.543397903,231.2425073,229.127594,222.6100006
01 01 2018 12:00,4.323760986,185.5984796,227.0399933,194.1811981
01 01 2018 12:10,3.634437084,68.5028198,230.3146057,82.64074707
01 01 2018 12:20,3.705512047,78.39616535,233.9532928,75.8952179
01 01 2018 12:30,3.253968,29.28695563,233.0659027,41.94723892
01 01 2018 12:40,3.775136948,88.87136533,227.7534943,118.5345993
01 01 2018 12:50,4.693500996,264.1192574,229.8966064,250.7559052
01 01 2018 13:00,5.002939224,336.7219982,235.2794952,346.8644104
01 01 2018 13:10,5.364749908,430.921089,235.5852966,416.4179077
01 01 2018 13:20,5.016181946,339.9849402,229.9429016,331.9414978
01 01 2018 13:30,5.970407963,615.0556308,235.6952972,583.4799194
01 01 2018 13:40,6.655520916,868.1808449,241.4573975,776.5526733
01 01 2018 13:50,6.600903988,846.0294095,242.7821045,752.7263794
01 01 2018 14:00,5.981378078,618.7314427,234.9844055,589.0731201
01 01 2018 14:10,7.424593925,1219.199787,235.1472931,1109.128052
01 01 2018 14:20,8.186451912,1638.508909,238.4790955,1482.459961
01 01 2018 14:30,8.27493,1691.147039,237.0332031,1523.430054
01 01 2018 14:40,8.449202538,1796.76309,238.3323975,1572.170044
01 01 2018 14:50,8.575974464,1875.047197,235.6414032,1698.939941
01 01 2018 15:00,8.282259941,1695.538777,236.4613953,1616.845947
01 01 2018 15:10,8.734552383,1974.4758,234.3547974,1796.823975
01 01 2018 15:20,8.764103889,1993.170712,231.0016022,1885.860962
01 01 2018 15:30,9.669431686,2568.827129,227.6000977,2327.511963
01 01 2018 15:40,10.14109039,2876.753616,227.7315979,2499.162109
01 01 2018 15:50,10.77241993,3186.029883,225.2763977,2820.512939
01 01 2018 16:00,10.64752007,3133.259224,224.680603,2812.279053
01 01 2018 16:10,9.982661247,2781.274041,225.5195007,2530.447021
01 01 2018 16:20,9.874385834,2711.492458,227.2738037,2399.121094
01 01 2018 16:30,9.785479546,2651.341009,229.2554932,2335.587891
01 01 2018 16:40,9.614232063,2527.945451,230.7368927,2341.133057
01 01 2018 16:50,9.618504524,2531.14794,229.490799,2391.8479
01 01 2018 17:00,9.098683357,2207.79282,223.960907,2118.389893
01 01 2018 17:10,8.677425385,1938.478601,219.7937012,1866.845947
01 01 2018 17:20,8.774898529,2000.011716,219.0449066,1865.619019
01 01 2018 17:30,8.689981461,1946.373955,215.3352051,1862.447998
01 01 2018 17:40,8.631073952,1909.416256,216.2799988,1884.119019
01 01 2018 17:50,8.614569664,1899.100734,214.5290985,1855.776978
01 01 2018 18:00,9.21884346,2285.917032,212.1799011,1958.133057
01 01 2018 18:10,10.04951954,2822.50949,210.3085938,2228.24292
01 01 2018 18:20,10.31871033,2974.866796,210.5881042,2529.291016
01 01 2018 18:30,10.76675987,3183.72246,207.4813995,2788.25708
01 01 2018 18:40,10.55825043,3093.110672,208.5518951,2692.929932
