User ID,Location,Age,Household Size,Monthly Consumption (kWh),Peak Consumption (kWh),Avg Consumption (kWh),Consumption by Time of Day (Morning),Consumption by Time of Day (Evening),Marketing Interaction,Pricing Plan,Incentive Participation,Engagement Rate,Energy Usage Reduction (%)
User_1,Loc_4,29,4,300,35,10.0,0,9,True,Dynamic Pricing,False,0.8416154597578153,5.188983421361526
User_2,Loc_5,61,2,383,29,12.766666666666667,10,10,True,Flat Rate,False,0.554620491211145,1.6929750716925795
User_3,Loc_3,53,5,272,32,9.066666666666666,7,5,False,Flat Rate,True,0.9016312294863601,7.565753539047169
User_4,Loc_5,65,1,426,19,14.2,9,1,True,Dynamic Pricing,False,0.9261929864146267,4.491647653078021
User_5,Loc_5,21,3,305,20,10.166666666666666,13,10,True,Flat Rate,True,0.009098181280775997,22.877447194552776
User_6,Loc_2,22,5,162,14,5.4,2,18,True,Dynamic Pricing,False,0.07541217599278827,16.808855010920404
User_7,Loc_3,54,5,172,10,5.733333333333333,10,5,False,Flat Rate,False,0.2503587295708555,14.025866841767682
User_8,Loc_3,25,3,350,26,11.666666666666666,6,13,True,Flat Rate,True,0.6693154163635017,22.14331773496072
User_9,Loc_3,59,5,223,31,7.433333333333334,10,19,False,Flat Rate,False,0.888272196511506,7.019512478521827
User_10,Loc_5,66,1,474,43,15.8,14,5,False,Dynamic Pricing,True,0.45994195129396276,17.800698756847034
User_11,Loc_4,45,1,220,38,7.333333333333333,0,16,True,Dynamic Pricing,True,0.6069731162742654,21.654789689669272
User_12,Loc_3,48,3,374,13,12.466666666666667,0,9,False,Flat Rate,True,0.18849985279556114,14.695984912421714
User_13,Loc_5,26,4,497,14,16.566666666666666,9,0,False,Flat Rate,False,0.8049668338816853,1.2243331628714405
User_14,Loc_2,68,2,219,20,7.3,12,2,True,Flat Rate,False,0.9673281113534697,11.818321856544536
User_15,Loc_4,46,4,416,30,13.866666666666667,4,7,False,Dynamic Pricing,True,0.26859893291459747,31.375889114413066
User_16,Loc_2,31,5,263,44,8.766666666666667,4,7,True,Flat Rate,False,0.4948259516005463,3.3365940990052567
User_17,Loc_4,57,2,385,21,12.833333333333334,7,19,False,Flat Rate,False,0.0861161105063738,0.9336963979854751
User_18,Loc_5,58,3,364,35,12.133333333333333,6,14,False,Flat Rate,False,0.5591366564629684,15.590633636478659
User_19,Loc_1,39,3,419,28,13.966666666666667,7,6,True,Flat Rate,True,0.5027834418466806,13.788223097424327
User_20,Loc_4,28,2,260,16,8.666666666666666,5,10,True,Dynamic Pricing,False,0.1444364841550776,16.59287610705857
User_21,Loc_2,40,1,475,16,15.833333333333334,5,6,False,Dynamic Pricing,True,0.44206621311807504,20.03563450127032
User_22,Loc_5,18,2,407,35,13.566666666666666,1,3,False,Flat Rate,False,0.33410465208656326,18.91347074101609
User_23,Loc_4,63,5,188,49,6.266666666666667,5,11,True,Dynamic Pricing,False,0.5218308753051893,8.178544715133441
User_24,Loc_1,54,1,241,14,8.033333333333333,4,5,False,Dynamic Pricing,True,0.5856543354287992,24.72148856349824
User_25,Loc_1,38,3,302,30,10.066666666666666,12,13,False,Dynamic Pricing,False,0.008495578607209509,9.297095616265414
User_26,Loc_3,43,2,408,23,13.6,2,11,False,Flat Rate,True,0.7610059829495553,21.667967848725294
User_27,Loc_3,63,4,326,13,10.866666666666667,5,10,False,Dynamic Pricing,False,0.7130142918617408,8.991978120154746
User_28,Loc_2,53,4,433,32,14.433333333333334,7,18,True,Dynamic Pricing,True,0.3662863862065222,9.443582254780285
User_29,Loc_4,40,5,321,29,10.7,8,4,True,Dynamic Pricing,False,0.05293593556881826,10.157948320067618
User_30,Loc_4,18,4,140,24,4.666666666666667,0,13,True,Flat Rate,False,0.7549325397850504,10.571684028748846
User_31,Loc_3,68,2,295,38,9.833333333333334,2,15,True,Flat Rate,False,0.9551751604781324,16.21207696520322
User_32,Loc_4,57,2,167,17,5.566666666666666,2,12,True,Dynamic Pricing,True,0.2401515960220142,21.415718009809375
User_33,Loc_4,32,4,363,28,12.1,10,19,True,Dynamic Pricing,True,0.3235246137370379,27.25002297961062
User_34,Loc_1,38,2,101,48,3.3666666666666667,7,3,False,Flat Rate,True,0.18381288948181496,13.829202829525872
User_35,Loc_3,64,5,460,37,15.333333333333334,0,10,True,Flat Rate,False,0.5769361233448397,14.4123258132743
User_36,Loc_5,26,1,224,36,7.466666666666667,4,16,False,Dynamic Pricing,True,0.15484139464745494,19.858910298192278
User_37,Loc_3,26,5,209,13,6.966666666666667,2,6,False,Dynamic Pricing,True,0.35619394346137945,28.302324173095204
User_38,Loc_5,27,5,185,24,6.166666666666667,1,13,False,Flat Rate,True,0.697013013934263,32.587801452897565
User_39,Loc_1,69,2,219,44,7.3,14,10,True,Flat Rate,True,0.5601159830093484,15.102227245582426
User_40,Loc_2,43,1,226,46,7.533333333333333,7,8,False,Dynamic Pricing,True,0.38646256432793524,25.894439940779595
User_41,Loc_4,58,2,354,10,11.8,2,12,True,Flat Rate,True,0.4202496018075419,8.49807412481023
User_42,Loc_1,52,3,282,12,9.4,6,17,False,Dynamic Pricing,True,0.5621108826232295,16.275096859543094
User_43,Loc_4,69,2,115,33,3.8333333333333335,11,10,False,Dynamic Pricing,True,0.005864727887161303,19.72364279771908
User_44,Loc_2,42,2,161,36,5.366666666666666,10,14,True,Dynamic Pricing,True,0.07850986845360985,10.830684722370489
User_45,Loc_2,43,2,468,49,15.6,0,18,False,Flat Rate,True,0.8812580677630116,22.6120722947112
User_46,Loc_1,28,1,257,45,8.566666666666666,5,0,False,Dynamic Pricing,False,0.07787898909129076,0.16709408344277143
User_47,Loc_2,55,2,367,43,12.233333333333333,2,3,False,Dynamic Pricing,False,0.7068035962105051,3.3719809686807367
User_48,Loc_5,19,1,134,38,4.466666666666667,7,13,False,Flat Rate,True,0.9200381641090526,23.392048418065457
User_49,Loc_2,24,4,366,33,12.2,5,13,True,Flat Rate,False,0.2706836043017311,14.287751240745848
User_50,Loc_4,35,3,163,33,5.433333333333334,11,2,False,Dynamic Pricing,False,0.37049143705951426,18.332862053878323
User_51,Loc_4,44,1,149,13,4.966666666666667,1,16,False,Dynamic Pricing,True,0.5689214058447163,19.725363380040847
User_52,Loc_4,51,4,354,12,11.8,5,2,True,Flat Rate,True,0.8817089696385847,21.13532177365194
User_53,Loc_4,44,1,248,43,8.266666666666667,6,15,False,Flat Rate,True,0.9419055872604202,20.571033638185707
User_54,Loc_5,34,1,424,32,14.133333333333333,4,13,False,Flat Rate,False,0.7395632481112681,0.025688510536028275
User_55,Loc_3,60,3,403,32,13.433333333333334,2,19,False,Dynamic Pricing,True,0.08661976085469403,9.61845669373611
User_56,Loc_1,61,5,375,14,12.5,3,12,False,Dynamic Pricing,False,0.6691541555348508,10.691090895120784
User_57,Loc_4,68,5,456,40,15.2,3,14,True,Dynamic Pricing,True,0.41030372187266206,23.20583819626046
User_58,Loc_2,41,1,271,15,9.033333333333333,5,13,False,Flat Rate,False,0.4707009994910616,8.34896567792925
User_59,Loc_4,42,2,300,46,10.0,9,18,True,Dynamic Pricing,False,0.04914839034517704,14.613580230567804
User_60,Loc_2,24,4,492,19,16.4,0,5,False,Flat Rate,True,0.19106213934635818,20.568018090324074
User_61,Loc_2,69,2,423,49,14.1,10,9,False,Dynamic Pricing,True,0.7905136075336477,13.190995916603978
User_62,Loc_4,23,2,134,16,4.466666666666667,3,14,False,Flat Rate,False,0.4539588330478598,3.8403250193589766
User_63,Loc_5,41,1,315,48,10.5,9,19,True,Dynamic Pricing,False,0.30166224163114885,16.799964464878858
User_64,Loc_2,50,1,164,47,5.466666666666667,12,5,False,Dynamic Pricing,True,0.38401907396495816,23.527155242989274
User_65,Loc_2,66,1,107,30,3.566666666666667,3,9,False,Flat Rate,True,0.8543995133256802,31.967671413020685
User_66,Loc_4,46,1,400,29,13.333333333333334,9,6,True,Flat Rate,False,0.7489990174049569,2.3511449824187314
User_67,Loc_2,60,5,442,12,14.733333333333333,0,16,True,Dynamic Pricing,True,0.2723153971810828,30.232864435642227
User_68,Loc_2,39,1,431,31,14.366666666666667,8,17,True,Flat Rate,False,0.11750184021237331,4.188134278998672
User_69,Loc_4,43,5,175,13,5.833333333333333,3,16,True,Flat Rate,True,0.2519982216440717,8.713298501777219
User_70,Loc_4,45,5,273,37,9.1,6,8,False,Dynamic Pricing,True,0.9207564510547337,30.153664117486226
User_71,Loc_1,67,1,146,21,4.866666666666666,11,9,False,Flat Rate,True,0.5815888378497553,17.175309703536794
User_72,Loc_5,38,3,114,47,3.8,13,9,False,Dynamic Pricing,False,0.5334802087447829,13.360389050251198
User_73,Loc_5,66,4,460,45,15.333333333333334,2,6,False,Dynamic Pricing,True,0.5963935996924615,15.675177747447844
User_74,Loc_2,24,2,246,14,8.2,9,15,True,Flat Rate,False,0.36602826574651526,11.604570643982834
User_75,Loc_5,34,5,125,22,4.166666666666667,11,17,False,Flat Rate,True,0.8071070203195128,24.6275482109398
User_76,Loc_2,37,4,407,32,13.566666666666666,2,5,False,Dynamic Pricing,False,0.5232862493002498,6.403623348568772
User_77,Loc_1,58,3,192,39,6.4,13,19,False,Dynamic Pricing,False,0.11674790276879554,13.405079520887185
User_78,Loc_4,66,2,331,46,11.033333333333333,7,0,False,Dynamic Pricing,True,0.12906512482906296,15.632719816465611
User_79,Loc_4,37,2,120,34,4.0,7,0,True,Dynamic Pricing,False,0.5368591465026183,12.495907974374505
User_80,Loc_4,39,5,406,36,13.533333333333333,10,11,False,Dynamic Pricing,False,0.9365702180708392,6.729007036350203
User_81,Loc_5,45,1,137,23,4.566666666666666,11,1,False,Dynamic Pricing,False,0.30835212167619874,4.224165171759033
User_82,Loc_1,57,3,375,45,12.5,0,3,False,Flat Rate,False,0.8695411688592183,6.263641014072703
User_83,Loc_5,66,5,256,48,8.533333333333333,9,16,True,Flat Rate,True,0.7640955865788793,17.68697836994819
User_84,Loc_5,24,3,278,25,9.266666666666667,1,3,True,Flat Rate,True,0.24781244290690685,32.96995954609244
User_85,Loc_1,18,1,231,31,7.7,7,10,False,Dynamic Pricing,True,0.036340748316242455,14.004658225822098
User_86,Loc_1,49,1,410,30,13.666666666666666,0,3,False,Flat Rate,False,0.10184726514238274,4.905586099487347
User_87,Loc_1,30,5,447,30,14.9,14,0,False,Dynamic Pricing,False,0.7284939338474402,8.968156820318658
User_88,Loc_1,47,1,127,17,4.233333333333333,11,6,True,Dynamic Pricing,True,0.1996697380406467,20.99400020094378
User_89,Loc_4,40,4,359,25,11.966666666666667,7,17,False,Flat Rate,True,0.3712709205053938,20.865457830134105
User_90,Loc_3,68,2,175,40,5.833333333333333,7,8,False,Dynamic Pricing,False,0.5016991660064248,19.424398237709887
User_91,Loc_3,36,5,166,19,5.533333333333333,1,2,False,Dynamic Pricing,True,0.7254681684501628,15.37167336651716
User_92,Loc_1,49,3,441,41,14.7,3,7,True,Dynamic Pricing,True,0.11323122325912538,32.18079583326729
User_93,Loc_3,47,4,293,43,9.766666666666667,5,18,False,Dynamic Pricing,False,0.4063664052774615,11.31726147119239
User_94,Loc_3,46,5,261,18,8.7,11,3,False,Dynamic Pricing,True,0.4850729091426954,13.170189369104902
