material_id,formula_pretty,n_elements,contains_transition_metal,formation_energy_per_atom,energy_per_atom,band_gap,density,volume,elements,Target
mp-756176,Li2CrS3,3,FALSE,0.8778790581,0.5184841643,-0.8682128618,-0.6346557613,-0.1286174432,"['Cr', 'Li', 'S']",FALSE
mp-1175222,Li7Mn4CoO12,4,TRUE,-0.09633283483,0.1046886953,-0.2808316473,0.1296784445,-0.6068599811,"['Co', 'Li', 'Mn', 'O']",FALSE
mp-1174116,Li5Co3O8,3,TRUE,0.3565613715,0.3538093266,-0.8682128618,0.2063528031,-0.8370614638,"['Co', 'Li', 'O']",FALSE
mp-756384,Li3Cr2Fe5O12,4,TRUE,0.1378656582,-0.09664426144,-0.8682128618,0.3995467036,-0.5807614372,"['Cr', 'Fe', 'Li', 'O']",FALSE
mp-769928,Li4NbV3O8,4,FALSE,-0.5240391832,-0.133104421,-0.8682128618,0.3425448385,-0.7864788128,"['Li', 'Nb', 'O', 'V']",FALSE
mp-1097187,Li2MgZn,3,FALSE,3.259660117,1.911837831,-0.4176051405,-2.399447784,1.792413578,"['Li', 'Mg', 'Zn']",FALSE
mp-768437,Li2Bi(BO3)2,4,FALSE,-0.3959635966,0.0955753723,-0.8418738079,0.3966612803,0.2654600372,"['B', 'Bi', 'Li', 'O']",FALSE
mp-772727,NaLi5Mn2P2(CO7)2,6,TRUE,-0.4714020799,-0.01142089634,1.732447088,-0.6753496266,0.4326835427,"['C', 'Li', 'Mn', 'Na', 'O', 'P']",TRUE
mp-774377,Li4Mn3Fe(BO3)4,5,TRUE,-0.5384057791,-0.1710612457,1.285495688,-0.3645604629,0.208881448,"['B', 'Fe', 'Li', 'Mn', 'O']",TRUE
mp-850913,LiVOF3,4,FALSE,-1.073405669,0.2071534889,0.2533974918,-0.5731704317,0.49687507,"['F', 'Li', 'O', 'V']",TRUE
mp-754749,Li2CoOF3,4,TRUE,-0.5726305943,0.490732675,-0.3947869884,-0.3273168438,-0.3805648575,"['Co', 'F', 'Li', 'O']",FALSE
mp-801980,Li3Ni5OF11,4,TRUE,0.9565856579,0.9114830546,0.1389681831,0.3081024059,-0.6240593597,"['F', 'Li', 'Ni', 'O']",TRUE
mp-757010,Li3Fe(NiO2)4,4,TRUE,0.4920620431,0.273984868,-0.8682128618,0.8714914426,-0.8211394164,"['Fe', 'Li', 'Ni', 'O']",FALSE
mp-31560,Li2Co(PO3)4,4,TRUE,-0.5859490691,-0.02052932653,1.269109953,-0.8144695225,0.2335327812,"['Co', 'Li', 'O', 'P']",TRUE
mp-764801,Li2Cu5F12,3,FALSE,-0.1201810504,0.03311377672,-0.8682128618,0.2107531701,0.08192657696,"['Cu', 'F', 'Li']",FALSE
