"customer","x","tx","T"
1,4,4,12
2,2,12,12
3,2,6,12
4,11,11,12
5,12,12,12
6,12,12,12
7,1,1,12
8,2,3,12
9,3,3,12
10,10,10,12
11,11,11,12
12,5,5,12
13,12,12,12
14,11,11,12
15,2,2,12
16,2,7,12
17,1,1,12
18,1,1,12
19,3,4,12
20,6,7,12
21,6,6,12
22,11,11,12
23,4,4,12
24,12,12,12
25,4,4,12
26,6,6,12
27,3,3,12
28,2,12,12
29,11,11,12
30,10,10,12
31,6,6,12
32,4,4,12
33,5,12,12
34,9,9,12
35,8,8,12
36,12,12,12
37,2,2,12
38,2,2,12
39,12,12,12
40,9,9,12
41,11,11,12
42,11,11,12
43,9,12,12
44,4,4,12
45,8,12,12
46,6,12,12
47,5,12,12
48,3,3,12
49,1,1,12
50,2,2,12
51,6,12,12
52,11,12,12
53,3,12,12
54,12,12,12
55,10,12,12
56,2,2,12
57,12,12,12
58,1,1,12
59,12,12,12
60,7,7,12
61,12,12,12
62,9,12,12
63,7,7,12
64,5,8,12
65,1,1,12
66,7,12,12
67,4,4,12
68,4,4,12
69,1,1,12
70,12,12,12
71,12,12,12
72,5,5,12
73,2,2,12
74,12,12,12
75,2,12,12
76,9,9,12
77,4,6,12
78,12,12,12
79,3,3,12
80,2,7,12
81,2,2,12
82,12,12,12
83,12,12,12
84,1,1,12
85,6,11,12
86,1,1,12
87,1,1,12
88,11,11,12
89,1,1,12
90,8,8,12
91,3,12,12
92,2,9,12
93,5,5,12
94,2,2,12
95,3,12,12
96,12,12,12
97,1,1,12
98,12,12,12
99,6,6,12
100,3,3,12
101,7,7,12
102,12,12,12
103,12,12,12
104,4,7,12
105,4,9,12
106,8,8,12
107,12,12,12
108,10,12,12
109,12,12,12
110,4,9,12
111,12,12,12
112,12,12,12
113,2,2,12
114,9,12,12
115,9,9,12
116,12,12,12
117,1,1,12
118,1,1,12
119,5,5,12
120,12,12,12
121,2,2,12
122,5,5,12
123,3,3,12
124,4,4,12
125,1,1,12
126,6,6,12
127,6,12,12
128,3,3,12
129,4,12,12
130,12,12,12
131,7,12,12
132,1,1,12
133,4,4,12
134,7,7,12
135,12,12,12
136,12,12,12
137,12,12,12
138,12,12,12
139,5,5,12
140,11,11,12
141,12,12,12
142,1,1,12
143,12,12,12
144,12,12,12
145,12,12,12
146,11,11,12
147,12,12,12
148,11,11,12
149,5,12,12
150,7,7,12
151,5,5,12
152,12,12,12
153,1,1,12
154,8,10,12
155,4,4,12
156,1,1,12
157,12,12,12
158,2,5,12
159,12,12,12
160,7,7,12
161,2,11,12
162,1,1,12
163,8,8,12
164,3,9,12
165,10,12,12
166,12,12,12
167,10,10,12
168,2,12,12
169,7,7,12
170,3,3,12
171,2,2,12
172,5,12,12
173,4,4,12
174,5,10,12
175,4,4,12
176,12,12,12
177,12,12,12
178,3,3,12
179,9,11,12
180,12,12,12
181,12,12,12
182,6,10,12
183,5,5,12
184,12,12,12
185,1,1,12
186,8,11,12
187,5,5,12
188,2,2,12
189,3,6,12
190,12,12,12
191,1,1,12
192,5,5,12
193,2,2,12
194,12,12,12
195,2,12,12
196,5,5,12
197,12,12,12
198,12,12,12
199,12,12,12
200,7,7,12
201,8,8,12
202,12,12,12
203,12,12,12
204,9,9,12
205,4,12,12
206,8,12,12
207,1,1,12
208,9,9,12
209,12,12,12
210,5,9,12
211,2,2,12
212,12,12,12
213,9,9,12
214,6,6,12
215,5,5,12
216,4,4,12
217,9,9,12
218,4,10,12
219,6,10,12
220,2,2,12
221,7,7,12
222,6,12,12
223,2,12,12
224,12,12,12
225,5,5,12
226,12,12,12
227,11,12,12
228,2,2,12
229,1,1,12
230,4,12,12
231,9,9,12
232,5,5,12
233,4,12,12
234,4,12,12
235,3,12,12
236,2,6,12
237,9,9,12
238,12,12,12
239,3,3,12
240,7,7,12
241,2,2,12
242,1,1,12
243,1,1,12
244,12,12,12
245,6,6,12
246,1,1,12
247,3,3,12
248,4,4,12
249,9,9,12
250,12,12,12
251,9,12,12
252,9,9,12
253,1,1,12
254,12,12,12
255,8,8,12
256,2,12,12
257,5,5,12
258,8,10,12
259,6,12,12
260,1,1,12
261,6,6,12
262,3,3,12
263,9,12,12
264,11,11,12
265,6,6,12
266,6,12,12
267,5,5,12
268,9,9,12
269,12,12,12
270,12,12,12
271,12,12,12
272,1,1,12
273,9,9,12
274,12,12,12
275,4,9,12
276,12,12,12
277,12,12,12
278,2,12,12
279,6,6,12
280,12,12,12
281,9,11,12
282,8,8,12
283,1,1,12
284,2,11,12
285,1,1,12
286,5,7,12
287,12,12,12
288,3,3,12
289,4,4,12
290,7,7,12
291,10,10,12
292,7,7,12
293,1,1,12
294,3,3,12
295,7,12,12
296,2,8,12
297,11,11,12
298,8,11,12
299,7,7,12
300,5,5,12
301,1,1,12
302,1,1,12
303,1,1,12
304,4,4,12
305,1,1,12
306,5,10,12
307,10,12,12
308,7,12,12
309,4,4,12
310,4,4,12
311,6,12,12
312,3,7,12
313,4,4,12
314,7,12,12
315,3,3,12
316,12,12,12
317,1,1,12
318,5,11,12
319,8,12,12
320,7,12,12
321,4,4,12
322,1,1,12
323,9,10,12
324,3,3,12
325,12,12,12
326,2,2,12
327,2,2,12
328,10,10,12
329,12,12,12
330,12,12,12
331,12,12,12
332,4,4,12
333,12,12,12
334,12,12,12
335,2,8,12
336,8,12,12
337,2,2,12
338,2,2,12
339,5,8,12
340,2,10,12
341,1,1,12
342,2,6,12
343,1,1,12
344,12,12,12
345,6,6,12
346,12,12,12
347,2,2,12
348,12,12,12
349,12,12,12
350,12,12,12
351,12,12,12
352,3,3,12
353,2,2,12
354,4,4,12
355,5,10,12
356,1,1,12
357,12,12,12
358,2,12,12
359,5,5,12
360,8,8,12
361,7,10,12
362,12,12,12
363,2,2,12
364,9,12,12
365,5,7,12
366,12,12,12
367,1,1,12
368,6,12,12
369,1,1,12
370,4,4,12
371,5,5,12
372,12,12,12
373,10,10,12
374,3,7,12
375,7,8,12
376,6,10,12
377,1,1,12
378,7,7,12
379,6,6,12
380,12,12,12
381,4,4,12
382,4,12,12
383,12,12,12
384,5,5,12
385,4,4,12
386,3,6,12
387,12,12,12
388,12,12,12
389,9,10,12
390,7,8,12
391,7,7,12
392,11,12,12
393,2,2,12
394,10,10,12
395,11,11,12
396,5,5,12
397,1,1,12
398,4,4,12
399,9,10,12
400,2,2,12
401,10,12,12
402,12,12,12
403,4,4,12
404,12,12,12
405,1,1,12
406,7,7,12
407,5,5,12
408,12,12,12
409,3,3,12
410,3,12,12
411,12,12,12
412,6,6,12
413,11,12,12
414,1,1,12
415,12,12,12
416,3,3,12
417,10,10,12
418,1,1,12
419,2,2,12
420,1,1,12
421,2,2,12
422,6,6,12
423,11,12,12
424,8,11,12
425,4,9,12
426,2,2,12
427,5,9,12
428,5,5,12
429,4,4,12
430,2,2,12
431,7,12,12
432,3,3,12
433,2,7,12
434,2,2,12
435,12,12,12
436,12,12,12
437,11,11,12
438,8,8,12
439,12,12,12
440,2,2,12
441,3,3,12
442,8,8,12
443,2,2,12
444,1,1,12
445,5,12,12
446,3,3,12
447,11,11,12
448,3,3,12
449,1,1,12
450,12,12,12
451,5,8,12
452,12,12,12
453,7,7,12
454,12,12,12
455,12,12,12
456,4,4,12
457,4,12,12
458,12,12,12
459,1,1,12
460,2,9,12
461,8,8,12
462,6,11,12
463,5,7,12
464,1,1,12
465,2,2,12
466,12,12,12
467,5,12,12
468,6,6,12
469,12,12,12
470,2,3,12
471,1,1,12
472,1,1,12
473,2,2,12
474,2,2,12
475,3,3,12
476,12,12,12
477,12,12,12
478,7,11,12
479,2,12,12
480,1,1,12
481,8,11,12
482,8,8,12
483,1,1,12
484,12,12,12
485,12,12,12
486,3,4,12
487,5,10,12
488,8,8,12
489,7,10,12
490,6,11,12
491,12,12,12
492,3,11,12
493,6,6,12
494,3,3,12
495,12,12,12
496,1,1,12
497,12,12,12
498,4,4,12
499,1,1,12
500,3,3,12
