"customer","reacquire","duration_2","sclv","duration_1","offer","duration_lapse","price_change","gender","age"
1,1,766,1404.8996218856,609,30,152,-8.97,0,37
2,1,405,874.556785978484,411,20,73,16.66,1,32
3,0,0,-5,205,30,170,9.13,1,54
4,1,623,1155.00599992223,664,20,120,9.85,0,69
5,0,0,-5,227,25,161,-42.15,1,67
6,1,480,1056.88666930111,617,25,102,31.02,0,32
7,1,411,780.93445269798,557,20,72,37.24,0,60
8,1,645,1251.51727165138,529,30,72,0,0,47
9,0,0,-5,330,20,153,0,0,66
10,1,1136,2060.0919813557,741,25,112,-25.78,1,35
11,0,0,-5,118,20,71,0,0,51
12,1,374,880.648700263813,435,30,110,17.23,1,55
13,1,1335,2217.00173182958,1085,25,44,0,0,62
14,1,561,1010.332691402,164,30,12,-28.19,1,51
15,1,1031,1726.46623403739,679,30,48,-17.04,0,53
16,1,824,1466.09742197423,903,30,153,28.9,0,39
17,1,762,1400.14284530014,296,30,36,-30.11,1,26
18,1,965,1635.07272764602,911,25,150,0,0,71
19,1,1059,1826.72053778939,845,20,124,-11.08,0,38
20,1,815,1300.41382592083,749,20,108,16.3,0,39
21,1,681,1198.50205797735,582,30,109,0,1,69
22,0,0,-5,162,20,173,1.74,1,29
23,0,0,-5,179,20,35,27.25,0,55
24,1,938,1712.50143479391,736,25,77,0,0,41
25,0,0,-5,174,30,139,0,1,52
26,0,0,-5,121,20,164,11.95,1,41
27,1,707,1267.84796843127,633,30,103,9.24,0,33
28,1,696,1212.98001535687,536,20,124,0,1,30
29,0,0,-5,185,25,148,-18.99,1,39
30,1,746,1454.79467543727,532,30,119,-19.64,0,58
31,1,961,1621.19297378835,541,20,45,-37.44,1,71
32,1,919,1436.75372353368,662,20,46,0,1,32
33,0,0,-5,439,20,132,0,1,37
34,1,410,819.62651984913,231,20,77,0,1,30
35,0,0,-5,298,25,102,15.56,0,57
36,1,708,1276.32513566306,715,30,154,9.4,0,63
37,0,0,-5,75,30,144,0,0,63
38,0,0,-5,184,20,104,7,1,74
39,0,0,-5,223,30,145,0,0,73
40,1,1477,2465.29119069342,1102,30,72,-9.68,1,42
41,0,0,-5,292,30,148,-3.17,0,63
42,0,0,-5,513,25,148,0,0,51
43,1,671,1052.56077036744,524,20,109,0,0,50
44,0,0,-5,245,30,108,-14.58,0,26
45,1,572,1073.19404928726,584,30,127,18.78,0,39
46,0,0,-5,118,20,36,0,0,69
47,0,0,-5,194,20,44,-2.37,1,69
48,1,1316,2136.73311559421,1006,20,105,-20.46,0,72
49,0,0,-5,310,20,162,0,0,63
50,1,704,1195.78670579411,734,20,16,39.44,1,47
51,1,1032,1896.42198626163,782,30,36,-10.53,1,70
52,1,925,1615.83109726523,827,25,198,0,1,47
53,1,692,1264.82372964909,500,25,101,0,0,44
54,1,731,1385.31385521095,559,30,69,0,1,50
55,1,537,979.278633608858,456,25,105,0,0,49
56,0,0,-5,386,30,185,0,0,47
57,1,500,1027.0239724871,140,30,81,-28.47,0,28
58,1,378,777.225698343424,452,20,106,18.51,0,43
59,1,803,1413.30384987176,435,20,41,-27.12,0,40
60,1,609,1059.65669712729,478,25,107,0,0,27
61,1,594,1124.63124700244,253,20,95,-27.78,0,36
62,0,0,-5,584,20,141,0.56,1,49
63,0,0,-5,183,25,73,0,1,73
64,1,779,1353.23404849314,662,25,85,0,0,69
65,1,740,1397.20172854076,598,20,131,-11.73,1,51
66,1,1009,1764.58317900837,821,20,23,0,0,70
67,0,0,-5,475,20,89,0,0,47
68,0,0,-5,452,20,185,0,1,38
69,1,858,1532.865452864,689,30,86,0,1,48
70,0,0,-5,201,25,60,0,0,66
71,0,0,-5,371,20,130,0,0,74
72,0,0,-5,107,20,120,-4.51,1,41
73,0,0,-5,283,20,129,12.23,1,58
74,1,655,1353.60774278096,562,20,74,1.48,1,45
75,1,447,911.344230473462,351,30,52,0,0,54
76,0,0,-5,141,20,60,-21.32,1,52
77,1,489,935.133606570517,395,30,67,0,0,69
78,1,1438,2366.45405881275,1144,25,64,0,1,43
79,1,125,535.716863073643,192,30,118,18.07,1,31
80,0,0,-5,341,20,38,-7.72,0,69
81,1,820,1477.49175521951,584,20,47,0,1,30
82,1,1027,1704.43998430074,761,30,51,0,1,58
83,1,577,1109.92286471009,503,20,56,0,0,75
84,1,31,153.241771969165,130,25,45,31.99,0,56
85,1,509,1030.71797098142,357,25,63,0,0,38
86,1,402,830.318638465498,245,25,31,0,1,38
87,1,286,624.65606314581,424,20,29,38.32,0,44
88,0,0,-5,149,25,126,4.19,1,44
89,1,74,333.17986058885,299,30,53,38.88,1,71
90,1,910,1574.7337251464,711,30,71,0,1,47
91,1,1079,1782.43938932133,818,20,79,0,1,28
92,0,0,-5,314,20,156,-2.2,0,68
93,0,0,-5,216,20,178,-30.52,0,30
94,1,930,1631.7502959734,784,30,61,0,0,70
95,1,695,1269.54705165331,645,30,68,10.97,1,70
96,0,0,-5,592,20,190,-3.86,0,63
97,0,0,-5,349,20,108,16.33,1,46
98,1,1147,2035.12763610529,692,20,64,-34.13,0,29
99,0,0,-5,308,20,96,0,1,42
100,1,286,651.552199591241,194,30,98,0,0,45
101,1,439,998.035805379281,310,30,65,0,0,29
102,0,0,-5,105,30,51,0,0,46
103,1,283,616.101038174607,364,30,89,25.86,1,41
104,0,0,-5,256,30,123,5.79,0,30
105,1,834,1590.75919511334,644,25,93,0,1,31
106,0,0,-5,306,20,150,0,1,46
107,1,475,959.409819560589,351,30,51,0,0,57
108,1,460,926.856403562707,408,30,136,0,0,62
109,0,0,-5,116,20,85,0,0,39
110,1,416,975.903355871362,326,30,53,0,0,44
111,1,524,996.646851104384,421,30,46,0.23,1,64
112,0,0,-5,282,20,164,-26.75,0,71
113,1,837,1458.05260174055,638,25,108,-8.95,0,64
114,0,0,-5,93,20,85,12.29,1,71
115,1,551,927.911516596145,419,30,98,0,1,57
116,1,851,1567.03058062712,486,20,86,-25.44,0,29
117,1,430,778.739063784532,376,25,51,11.3,0,53
118,1,553,1172.94515062353,333,30,165,-17.72,1,38
119,1,623,1146.11618928218,490,25,63,-1.36,0,58
120,0,0,-5,95,20,144,-25.12,0,61
121,0,0,-5,147,30,64,15.95,0,64
122,0,0,-5,182,20,186,-11.24,1,53
123,1,273,613.771340507518,182,25,12,0,1,62
124,1,562,1195.37500496189,452,30,86,0,1,40
125,1,992,1611.74848460769,966,25,63,26.37,1,62
126,0,0,-5,205,30,169,-9.63,0,26
127,0,0,-5,109,20,155,0,0,33
128,1,985,1599.84751950064,836,20,118,-2.86,1,67
129,0,0,-5,452,25,154,0,1,63
130,1,990,1806.15863787975,794,30,81,0,0,36
131,0,0,-5,221,20,81,-2.21,0,39
132,1,496,996.257670305414,454,25,32,9.98,1,52
133,0,0,-5,99,20,35,-38.26,0,42
134,1,301,817.936307137737,382,20,41,13.56,0,70
135,1,718,1271.03961627059,649,20,123,3.84,1,40
136,1,923,1607.70900449989,581,30,62,-25.24,1,68
137,1,510,966.06454112569,475,20,153,0,0,51
138,1,1060,1918.3435395043,1047,25,144,25.28,1,39
139,1,939,1524.20178751706,667,25,39,0,0,28
140,0,0,-5,206,20,125,-6.68,0,28
141,1,620,1160.02137249242,506,30,120,0,0,52
142,1,977,1722.96194256707,556,20,16,-28.48,0,41
143,1,499,1100.56074385963,332,20,12,-14.73,1,72
144,0,0,-5,110,30,161,0,1,52
145,0,0,-5,421,20,162,20.05,1,65
146,1,550,1081.34677556402,538,25,131,-0.54,1,72
147,0,0,-5,143,30,141,33.38,0,40
148,1,966,1782.82561403504,697,30,69,-17.67,0,65
149,0,0,-5,162,20,54,10.31,0,65
150,1,804,1440.85852525332,813,20,37,26.11,1,66
151,0,0,-5,338,20,130,12.75,0,73
152,1,1013,1774.79953244458,912,20,65,17.3,0,35
153,1,326,672.997485916618,223,30,92,0,0,44
154,1,498,986.634929477836,425,20,75,0,0,55
155,1,116,353.805026565642,102,25,35,12.93,1,50
156,1,149,512.926882930964,128,30,80,0,1,62
157,0,0,-5,261,30,155,36.29,1,39
158,0,0,-5,267,20,95,-7.4,0,71
159,0,0,-5,116,20,145,0,1,65
160,1,592,1174.41309872104,438,20,37,-0.8,0,36
161,1,530,1118.16172612125,414,20,80,0,1,26
162,1,23,248.956720314527,86,25,36,13.87,0,73
163,1,953,1745.97809643998,804,20,112,0,0,35
164,1,769,1367.15580261775,592,20,45,-5.85,0,62
165,1,262,624.126944103744,217,30,36,5.88,0,59
166,0,0,-5,393,25,89,0,1,45
167,1,572,1022.99026179125,537,20,77,14.24,1,40
168,1,315,742.853133655715,343,30,102,15.25,0,47
169,0,0,-5,391,20,131,8.06,0,66
170,1,648,1113.30819113725,393,30,20,-12.19,1,75
171,0,0,-5,137,30,145,-11,1,66
172,0,0,-5,106,20,133,0,1,43
173,0,0,-5,553,20,112,-36.76,0,58
174,1,339,594.574532434873,296,30,105,0,1,71
175,1,860,1513.29371400958,643,25,134,-17.57,0,61
176,0,0,-5,88,20,91,-1.68,0,53
177,1,783,1407.35946989109,734,30,47,19.46,1,55
178,1,943,1623.54358416496,742,30,102,2.15,1,41
179,1,16,175.728945069756,223,30,92,41.04,0,33
180,1,802,1578.976873894,726,30,161,0,1,39
181,1,419,847.706493191066,197,30,66,-12.16,0,39
182,1,489,971.29132549929,383,20,35,0,0,50
183,0,0,-5,256,25,143,17.22,0,42
