customer,first_purchase,clv,duration,censor,acq_expense,acq_expense_sq,industry,revenue,employees,ret_expense,ret_expense_sq,crossbuy,frequency,frequency_sq,acquisition
1,433.64,0,384,0,760.36,578147.33,1,30.16,1240,2309.79,5335129.84,5,2,4,1
2,0,0,0,0,147.7,21815.29,1,39.8,166,0,0,0,0,0,0
3,0,0,0,0,252.56,63786.55,1,54.93,1016,0,0,0,0,0,0
4,225.84,5.7316,730,1,609.73,371770.67,1,45.83,122,2192.59,4807450.91,2,12,144,1
5,363.04,0,579,0,672.36,452067.97,1,69.03,313,801.14,641825.3,4,7,49,1
6,0,0,0,0,435.57,189721.22,0,22.54,359,0,0,0,0,0,0
7,0,0,0,0,362.9,131696.41,0,32.97,902,0,0,0,0,0,0
8,0,0,0,0,883.54,780642.93,0,22.48,264,0,0,0,0,0,0
9,599.3,6.9161,730,1,452.35,204620.52,1,17.98,1782,1340.75,1797610.56,1,11,121,1
10,271.18,6.0839,730,1,786.72,618928.36,1,38.91,539,2265.93,5134438.76,1,14,196,1
11,0,0,0,0,504.03,254046.24,1,28.85,605,0,0,0,0,0,0
12,0,0,0,0,842.5,709806.25,0,49.41,87,0,0,0,0,0,0
13,0,0,0,0,150.51,22653.26,1,41.91,625,0,0,0,0,0,0
14,678.06,8.7544,730,1,472.13,222906.74,0,58.91,1507,2430.31,5906406.7,5,2,4,1
15,0,0,0,0,485,235225,1,39.97,643,0,0,0,0,0,0
16,178.28,6.5147,730,1,610.91,373211.03,1,33.78,41,2071.53,4291236.54,6,8,64,1
17,256.99,6.1321,730,1,687.13,472147.64,1,23.41,398,2511.73,6308787.59,1,16,256,1
18,0,0,0,0,220.47,48607.02,1,30.21,885,0,0,0,0,0,0
19,674.38,7.922,730,1,460.03,211627.6,0,60.07,1385,2024.75,4099612.56,4,3,9,1
20,0,0,0,0,368.19,135563.88,0,49.28,544,0,0,0,0,0,0
21,307.06,0,115,0,805.6,648991.36,1,8.1,893,803.64,645837.25,3,9,81,1
22,0,0,0,0,336.61,113306.29,1,37.08,746,0,0,0,0,0,0
23,369.53,7.0947,730,1,432.05,186667.2,1,10.24,1140,1892.29,3580761.44,6,7,49,1
24,0,0,0,0,233.97,54741.96,0,47.57,1293,0,0,0,0,0,0
25,583.41,6.5979,730,1,374.47,140227.78,0,59.86,1032,1486.53,2209771.44,4,8,64,1
26,320.29,6.0645,730,1,468.21,219220.6,1,29.57,390,1507.55,2272707,1,12,144,1
27,264.09,0,594,0,554.44,307403.71,1,37.49,163,930.38,865606.94,5,2,4,1
28,0,0,0,0,280.01,78405.6,1,8.62,93,0,0,0,0,0,0
