customer,quarter,order_quantity,crossbuy,ret_expense,ret_expense_sq,purchase
1,1,285.46,1,0,0,1
1,2,363.88,1,0,0,1
1,3,305.86,1,16.2,262.44,1
1,4,260.63,1,0,0,1
1,5,0,0,0,0,0
1,6,0,0,36.77,1352.03,0
1,7,0,0,42.5,1806.25,0
1,8,0,0,0,0,0
1,9,0,0,0,0,0
1,10,0,0,38.27,1464.59,0
1,11,0,0,13.41,179.83,0
1,12,0,0,30.1,906.01,0
2,1,87.63,1,0,0,1
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,30.43,925.98,0
2,5,0,0,0,0,0
2,6,0,0,7.06,49.84,0
2,7,0,0,0,0,0
2,8,0,0,0,0,0
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,0,0,0,0,0
2,12,121.87,1,0,0,1
3,1,356.8,2,33.78,1141.09,1
3,2,0,0,0,0,0
3,3,0,0,0,0,0
3,4,0,0,5.87,34.46,0
3,5,0,0,0,0,0
3,6,137.55,4,20.74,430.15,1
3,7,0,0,44.86,2012.42,0
3,8,0,0,0,0,0
3,9,0,0,0,0,0
3,10,0,0,0,0,0
3,11,0,0,50.86,2586.74,0
3,12,0,0,0,0,0
4,1,189.58,1,0,0,1
4,2,170.17,1,0,0,1
4,3,223.97,4,49.32,2432.46,1
4,4,289.85,3,0,0,1
4,5,301.04,4,9.73,94.67,1
4,6,387.55,2,21.23,450.71,1
4,7,330.88,2,0,0,1
4,8,266.23,4,13.48,181.71,1
4,9,212.15,2,0,0,1
4,10,202.19,3,34.97,1222.9,1
4,11,151.32,1,42.5,1806.25,1
4,12,0,0,0,0,0
5,1,226.79,4,27.65,764.52,1
5,2,246.17,1,0,0,1
5,3,179.67,2,0,0,1
5,4,304.01,2,0,0,1
5,5,257.96,2,13.97,195.16,1
5,6,395.35,5,0,0,1
5,7,327.98,4,0,0,1
5,8,438.15,2,0,0,1
5,9,248.8,1,0,0,1
5,10,324.17,3,48.24,2327.1,1
5,11,263.43,5,0,0,1
5,12,245.5,4,0,0,1
6,1,243.49,1,0,0,1
6,2,310.22,4,0,0,1
6,3,207.27,4,0,0,1
6,4,236.93,2,0,0,1
6,5,294.79,3,44.27,1959.83,1
6,6,277.93,2,32.59,1062.11,1
6,7,226.84,1,21.84,476.99,1
6,8,355.58,5,24.85,617.52,1
