customer,duration_2,sclv,duration_1,offer,duration_lapse,price_change,gender,age,reacquire
1,766,1404.899622,609,30,152,-8.97,0,37,1
2,405,874.556786,411,20,73,16.66,1,32,1
3,0,-5,205,30,170,9.13,1,54,0
4,623,1155.006,664,20,120,9.85,0,69,1
5,0,-5,227,25,161,-42.15,1,67,0
6,480,1056.886669,617,25,102,31.02,0,32,1
7,411,780.9344527,557,20,72,37.24,0,60,1
8,645,1251.517272,529,30,72,0,0,47,1
9,0,-5,330,20,153,0,0,66,0
10,1136,2060.091981,741,25,112,-25.78,1,35,1
11,0,-5,118,20,71,0,0,51,0
12,374,880.6487003,435,30,110,17.23,1,55,1
13,1335,2217.001732,1085,25,44,0,0,62,1
14,561,1010.332691,164,30,12,-28.19,1,51,1
15,1031,1726.466234,679,30,48,-17.04,0,53,1
16,824,1466.097422,903,30,153,28.9,0,39,1
17,762,1400.142845,296,30,36,-30.11,1,26,1
18,965,1635.072728,911,25,150,0,0,71,1
19,1059,1826.720538,845,20,124,-11.08,0,38,1
20,815,1300.413826,749,20,108,16.3,0,39,1
21,681,1198.502058,582,30,109,0,1,69,1
22,0,-5,162,20,173,1.74,1,29,0
23,0,-5,179,20,35,27.25,0,55,0
24,938,1712.501435,736,25,77,0,0,41,1
25,0,-5,174,30,139,0,1,52,0
26,0,-5,121,20,164,11.95,1,41,0
27,707,1267.847968,633,30,103,9.24,0,33,1
28,696,1212.980015,536,20,124,0,1,30,1
29,0,-5,185,25,148,-18.99,1,39,0
30,746,1454.794675,532,30,119,-19.64,0,58,1
31,961,1621.192974,541,20,45,-37.44,1,71,1
32,919,1436.753724,662,20,46,0,1,32,1
33,0,-5,439,20,132,0,1,37,0
34,410,819.6265198,231,20,77,0,1,30,1
35,0,-5,298,25,102,15.56,0,57,0
36,708,1276.325136,715,30,154,9.4,0,63,1
37,0,-5,75,30,144,0,0,63,0
38,0,-5,184,20,104,7,1,74,0
39,0,-5,223,30,145,0,0,73,0
40,1477,2465.291191,1102,30,72,-9.68,1,42,1
41,0,-5,292,30,148,-3.17,0,63,0
42,0,-5,513,25,148,0,0,51,0
43,671,1052.56077,524,20,109,0,0,50,1
44,0,-5,245,30,108,-14.58,0,26,0
45,572,1073.194049,584,30,127,18.78,0,39,1
46,0,-5,118,20,36,0,0,69,0
47,0,-5,194,20,44,-2.37,1,69,0
48,1316,2136.733116,1006,20,105,-20.46,0,72,1
49,0,-5,310,20,162,0,0,63,0
50,704,1195.786706,734,20,16,39.44,1,47,1
51,1032,1896.421986,782,30,36,-10.53,1,70,1
52,925,1615.831097,827,25,198,0,1,47,1
53,692,1264.82373,500,25,101,0,0,44,1
54,731,1385.313855,559,30,69,0,1,50,1
55,537,979.2786336,456,25,105,0,0,49,1
56,0,-5,386,30,185,0,0,47,0
57,500,1027.023972,140,30,81,-28.47,0,28,1
58,378,777.2256983,452,20,106,18.51,0,43,1
59,803,1413.30385,435,20,41,-27.12,0,40,1
60,609,1059.656697,478,25,107,0,0,27,1
61,594,1124.631247,253,20,95,-27.78,0,36,1
62,0,-5,584,20,141,0.56,1,49,0
63,0,-5,183,25,73,0,1,73,0
64,779,1353.234048,662,25,85,0,0,69,1
65,740,1397.201729,598,20,131,-11.73,1,51,1
66,1009,1764.583179,821,20,23,0,0,70,1
67,0,-5,475,20,89,0,0,47,0
68,0,-5,452,20,185,0,1,38,0
69,858,1532.865453,689,30,86,0,1,48,1
70,0,-5,201,25,60,0,0,66,0
71,0,-5,371,20,130,0,0,74,0
72,0,-5,107,20,120,-4.51,1,41,0
