customer,duration,profit,acq_exp,ret_exp,acq_exp_sq,ret_exp_sq,freq,freq_sq,crossbuy,sow,industry,revenue,employees,acquisition
1,1635,6134.3,693.54,971.56,480997.73,943928.83,6,36,5,95,1,47.2,898,1
2,1039,3523.62,460.03,449.53,211627.6,202077.22,11,121,6,22,0,45.11,686,1
3,1288,4080.62,249.03,805.04,62015.94,648089.4,21,441,6,90,0,29.1,1423,1
4,0,-638.47,638.47,0,407643.94,0,0,0,0,0,0,40.64,181,0
5,1631,5446.32,588.98,919.84,346897.44,846105.63,2,4,9,80,0,48.72,631,1
6,942,3488.07,568.65,365.11,323362.82,133305.31,7,49,4,48,1,35.43,617,1
7,799,2704.89,373.15,341.42,139240.92,116567.62,15,225,5,51,0,50.96,911,1
8,1081,3577.98,366.49,509.22,134314.92,259305.01,13,169,5,23,1,39.53,645,1
9,0,-284.96,284.96,0,81202.2,0,0,0,0,0,0,29.33,530,0
10,0,-292.54,292.54,0,85579.65,0,0,0,0,0,1,42.13,511,0
11,1009,3836.94,568.16,422.27,322805.79,178311.95,10,100,4,107,0,43.26,926,1
12,958,3006.55,224.15,439.24,50243.22,192931.78,16,256,8,84,1,39.03,876,1
13,793,3131.75,578.58,282.34,334754.82,79715.88,4,16,6,40,0,38.37,453,1
14,872,3251.43,444.77,394.66,197820.35,155756.52,14,196,5,33,1,24.87,858,1
15,0,-610.43,610.43,0,372624.78,0,0,0,0,0,1,44.95,397,0
16,0,-397.93,397.93,0,158348.28,0,0,0,0,0,0,53.83,165,0
17,0,-615.95,615.95,0,379394.4,0,0,0,0,0,0,33.74,579,0
18,1168,3927.91,447.08,527.3,199880.53,278045.29,11,121,7,63,1,41.31,730,1
19,1102,3973.78,620.44,465.65,384945.79,216829.92,8,64,6,75,0,43.45,730,1
20,1288,4576.12,588.24,603.96,346026.3,364767.68,9,81,6,71,1,58.28,667,1
21,0,-400.6,400.6,0,160480.36,0,0,0,0,0,0,36.7,420,0
22,0,-616.1,616.1,0,379579.21,0,0,0,0,0,0,33.12,514,0
23,1292,4298.36,502.34,611.36,252345.48,373761.05,11,121,4,67,1,45.14,711,1
24,1091,3810.68,508.64,463.15,258714.65,214507.92,8,64,9,91,0,44.1,604,1
25,989,3875.28,628.75,418.14,395326.56,174841.06,9,81,3,52,0,59.67,961,1
26,0,-440.27,440.27,0,193837.67,0,0,0,0,0,1,45.85,411,0
27,0,-651.14,651.14,0,423983.3,0,0,0,0,0,1,41.68,356,0
28,1207,4041.08,517.46,554.41,267764.85,307370.45,10,100,4,49,0,39.65,738,1
29,0,-557.48,557.48,0,310783.95,0,0,0,0,0,0,22.4,832,0
30,0,-509.36,509.36,0,259447.61,0,0,0,0,0,0,33.14,526,0
31,654,2586.22,380.37,229.87,144681.34,52840.22,8,64,5,74,1,37.78,760,1
32,1457,4888.39,738.56,693.01,545470.87,480262.86,2,4,8,66,0,34.13,1014,1
33,1064,4229.2,739.21,485.15,546431.42,235370.52,14,196,5,66,1,43.45,858,1
34,0,-788.61,788.61,0,621905.73,0,0,0,0,0,0,20.47,865,0
35,947,3330.04,479.28,425.78,229709.32,181288.61,15,225,6,53,0,50.26,441,1
36,1024,3379,467.2,410.99,218275.84,168912.78,10,100,4,85,1,33.44,369,1
37,1147,3897.52,443.89,514.03,197038.33,264226.84,8,64,8,43,1,42.22,1054,1
38,788,2659.08,334.2,281.56,111689.64,79276.03,4,16,6,70,1,42.05,429,1
39,0,-261.69,261.69,0,68481.66,0,0,0,0,0,1,28.97,462,0
40,1285,4064.91,429.65,595.33,184599.12,354417.81,2,4,7,45,0,42.54,896,1
41,661,1838.88,184.45,235.84,34021.8,55620.51,9,81,5,37,0,38.35,801,1
42,1106,4105.52,669.01,488.16,447574.38,238300.19,9,81,3,57,0,49.42,806,1
43,880,3557.66,603.12,392.54,363753.73,154087.65,16,256,4,65,0,61.24,1011,1
44,726,3685.21,824.33,277.19,679519.95,76834.3,15,225,11,83,1,51.24,1013,1
45,1252,3605.86,296.66,588.64,88007.16,346497.05,10,100,7,23,0,39.91,618,1
46,1077,3062.56,274.8,446.66,75515.04,199505.16,2,4,6,78,0,43.9,568,1
47,1089,4042.64,553.11,525.14,305930.67,275772.02,14,196,7,29,1,34.86,1123,1
48,0,-482.53,482.53,0,232835.2,0,0,0,0,0,1,26.88,616,0
49,0,-388.58,388.58,0,150994.42,0,0,0,0,0,0,42.05,351,0
50,0,-382.56,382.56,0,146352.15,0,0,0,0,0,0,32.44,256,0
51,0,-642.6,642.6,0,412934.76,0,0,0,0,0,0,45.08,659,0
52,864,3578.5,664.59,332.02,441679.87,110237.28,4,16,4,56,0,52.2,979,1
53,0,-423.92,423.92,0,179708.17,0,0,0,0,0,1,48.57,242,0
54,1369,4563.46,588.45,667.38,346273.4,445396.06,11,121,6,39,0,45.99,589,1
55,1415,4678.68,424.8,697.48,180455.04,486478.35,6,36,8,65,0,65.03,1047,1
56,1269,4294.2,451.92,637.87,204231.69,406878.14,13,169,4,54,0,38.11,971,1
57,0,-970.31,970.31,0,941501.5,0,0,0,0,0,1,37.95,589,0
58,0,-837.83,837.83,0,701959.11,0,0,0,0,0,1,39.53,607,0
59,1080,3042.87,234.41,453.83,54948.05,205961.67,9,81,3,90,1,64.48,354,1
60,0,-561.95,561.95,0,315787.8,0,0,0,0,0,0,42.25,326,0
61,910,3200.75,430.03,358.23,184925.8,128328.73,7,49,5,65,1,47.92,923,1
62,0,-381.91,381.91,0,145855.25,0,0,0,0,0,0,41.78,402,0
63,923,3740.33,658.43,441.71,433530.06,195107.72,18,324,5,55,0,40.24,812,1
64,0,-774.67,774.67,0,600113.61,0,0,0,0,0,1,38.86,143,0
65,1617,5655.11,537.09,996.86,288465.67,993729.86,11,121,5,34,1,38.86,1118,1
66,0,-334.98,334.98,0,112211.6,0,0,0,0,0,0,43.08,628,0
67,0,-220.68,220.68,0,48699.66,0,0,0,0,0,0,26.08,531,0
68,0,-823.37,823.37,0,677938.16,0,0,0,0,0,1,37.98,309,0
69,0,-851.77,851.77,0,725512.13,0,0,0,0,0,0,25.94,494,0
70,0,-182.69,182.69,0,33375.64,0,0,0,0,0,0,50.55,871,0
71,1537,5159.79,396.54,881.68,157243.97,777359.62,12,144,8,104,1,46.64,478,1
72,0,-120.86,120.86,0,14607.14,0,0,0,0,0,1,31.32,326,0
73,900,3009.88,328.23,395.15,107734.93,156143.52,14,196,3,74,0,49.11,1354,1
74,1006,3138.76,340.23,423.78,115756.45,179589.49,12,144,8,74,0,30.65,736,1
75,0,-460.29,460.29,0,211866.88,0,0,0,0,0,0,34.77,624,0
76,945,3195.96,508.56,356.3,258633.27,126949.69,1,1,3,66,0,30.58,737,1
77,994,3846.39,707.6,406.67,500697.76,165380.49,13,169,7,98,0,41.45,588,1
78,1156,3924.84,546.89,514.02,299088.67,264216.56,10,100,3,48,0,52.61,655,1
79,1242,3638.53,319.88,595.91,102323.21,355108.73,14,196,10,58,0,43.52,577,1
80,1114,3211.49,279.66,470.42,78209.72,221294.98,10,100,8,44,1,25.26,762,1
81,0,-327.8,327.8,0,107452.84,0,0,0,0,0,0,39.71,531,0
82,0,-683.71,683.71,0,467459.36,0,0,0,0,0,0,50.14,310,0
83,1223,3605.86,243.04,567.23,59068.44,321749.87,9,81,5,65,1,43.59,761,1
84,1490,4799.97,627.45,758.95,393693.5,576005.1,7,49,6,65,0,26.02,562,1
85,1035,3550.79,451.07,441.58,203464.14,194992.9,5,25,1,75,1,54.77,934,1
86,0,-728.58,728.58,0,530828.82,0,0,0,0,0,0,30.1,547,0
87,0,-325.19,325.19,0,105748.54,0,0,0,0,0,0,33.14,531,0
88,1030,3785.88,488.28,425.03,238417.36,180650.5,9,81,9,80,1,48.27,612,1
89,0,-266.62,266.62,0,71086.22,0,0,0,0,0,1,21.67,711,0
90,1208,4477.88,595.3,600.1,354382.09,360120.01,13,169,7,37,1,55.49,623,1
91,0,-626.25,626.25,0,392189.06,0,0,0,0,0,1,48.37,434,0
92,0,-809.96,809.96,0,656035.2,0,0,0,0,0,1,34.22,377,0
93,0,-165.98,165.98,0,27549.36,0,0,0,0,0,0,27.9,685,0
94,1033,3522.9,440.16,426.51,193740.83,181910.78,4,16,6,28,1,48.09,935,1
95,1057,3029.35,216.81,454.54,47006.58,206606.61,8,64,4,64,1,34.27,810,1
96,1069,3454.41,444.04,475.46,197171.52,226062.21,14,196,5,38,1,30.08,556,1
97,1020,3664.5,565.51,417.38,319801.56,174206.06,11,121,5,63,1,43.28,620,1
98,1281,4423.68,719.64,578.75,517881.73,334951.56,11,121,8,82,0,32.35,829,1
99,0,-391.02,391.02,0,152896.64,0,0,0,0,0,0,44.32,578,0
100,1580,5652.77,652.89,866.15,426265.35,750215.82,9,81,8,80,1,28.63,1042,1
101,1430,4956.69,832.2,682.37,692556.84,465628.82,9,81,5,64,1,43.85,585,1
102,1345,3975.11,280.41,659.68,78629.77,435177.7,7,49,3,55,1,42.83,1112,1
103,975,3593.92,537.58,392.12,288992.26,153758.09,8,64,3,76,1,41.32,593,1
104,0,-448.23,448.23,0,200910.13,0,0,0,0,0,0,55.38,396,0
105,1337,4335.16,497.3,645.56,247307.29,416747.71,2,4,6,44,0,55.11,671,1
106,0,-416.17,416.17,0,173197.47,0,0,0,0,0,0,28.56,489,0
107,0,-167.99,167.99,0,28220.64,0,0,0,0,0,0,48.78,495,0
108,1190,4303.67,710.95,534.58,505449.9,285775.78,12,144,7,47,0,35.77,998,1
109,1649,5444.28,455.87,1094.96,207817.46,1198937.4,11,121,8,41,0,36.55,513,1
110,1571,5081.3,396.04,925.11,156847.68,855828.51,11,121,7,37,1,41.28,744,1
111,917,3679.12,587.71,362.69,345403.04,131544.04,1,1,5,72,1,54.87,830,1
112,1038,3424.62,433.1,438.9,187575.61,192633.21,5,25,5,5,1,27.1,667,1
