ID,Gender,DOB,Lead_Creation_Date,City_Code,City_Category,Employer_Code,Employer_Category1,Employer_Category2,Monthly_Income,Customer_Existing_Primary_Bank_Code,Primary_Bank_Type,Contacted,Source,Source_Category,Existing_EMI,Loan_Amount,Loan_Period,Interest_Rate,EMI,Var1,Approved
APPC90493171225,Female,23/07/79,15/07/16,C10001,A,COM0044082,A,4,2000,B001,P,N,S122,G,0,,,,,0,0
APPD40611263344,Male,07/12/86,04/07/16,C10003,A,COM0000002,C,1,3500,B002,P,Y,S122,G,0,20000,2,13.25,953,10,0
APPE70289249423,Male,10/12/82,19/07/16,C10125,C,COM0005267,C,4,2250,B003,G,Y,S143,B,0,45000,4,,,0,0
APPF80273865537,Male,30/01/89,09/07/16,C10477,C,COM0004143,A,4,3500,B003,G,Y,S143,B,0,92000,5,,,7,0
APPG60994436641,Male,19/04/85,20/07/16,C10002,A,COM0001781,A,4,10000,B001,P,Y,S134,B,2500,50000,2,,,10,0
APPI90914237819,Female,23/12/88,01/07/16,C10402,C,COM0007740,A,4,7000,B014,P,N,S133,B,0,,,,,0,0
APPK80327232033,Male,28/03/73,02/07/16,C10022,B,COM0030526,B,4,7500,B003,G,Y,S122,C,0,130000,5,14.85,3082,10,0
APPL20820172146,Female,12/11/90,03/07/16,C10003,A,COM0016738,A,4,3000,B006,P,Y,S133,B,0,30000,3,18.25,1088,0,0
APPM30977401211,Male,03/03/77,02/07/16,C10003,A,COM0010626,A,4,2500,B017,G,Y,S133,B,0,66000,5,20,1749,7,0
APPN60714112334,Female,13/12/90,02/07/16,C10014,B,COM0042212,A,4,2500,,,N,S122,B,0,,,,,0,0
APPP50632654511,Male,24/08/83,09/07/16,C10030,B,COM0002632,B,4,2700,B003,G,Y,S133,B,460,20000,5,18,508,7,0
APPS60734495841,Male,11/12/86,08/07/16,C10032,C,COM0019508,C,4,2899.4,B006,P,Y,S122,E,255,30000,5,15.5,722,0,0
APPT10286486907,Female,08/03/91,01/07/16,C10001,A,COM0003151,C,4,2000,B001,P,N,S122,B,0,,,,,0,0
APPV30088583138,Male,29/10/83,01/07/16,C10125,C,COM0002367,B,4,3150,B004,P,Y,S133,E,1000,45000,5,,,10,0
APPW10037615244,Male,13/09/86,01/07/16,C10019,B,COM0000044,B,1,6000,B001,P,Y,S133,F,0,104000,5,,,7,0
APPY60885704429,Female,27/03/88,01/07/16,C10006,A,COM0033048,A,4,1200,B023,G,N,S133,C,0,,,,,0,0
APPA40017703642,Male,11/02/77,01/07/16,C10016,B,COM0023698,A,4,4500,B003,G,Y,S133,E,0,74000,5,,,10,0
APPB50503946704,Female,13/03/82,01/07/16,C10004,A,COM0008797,B,4,4500,B001,P,N,S133,B,0,,,,,10,0
APPC20296288829,Male,08/08/92,01/07/16,C10002,A,COM0012826,B,4,2284.3,B004,P,Y,S133,E,0,26000,2,20,1323,4,0
APPD50550321904,Female,21/09/83,01/07/16,C10001,A,COM0001461,C,4,290,B011,P,N,S133,C,0,,,,,0,0
APPE60344086013,Female,20/07/95,01/07/16,C10051,B,COM0017719,A,4,850,B002,P,N,S133,B,0,,,,,0,0
APPF80424918138,Male,07/04/86,01/07/16,C10003,A,COM0006220,A,4,20000,B003,G,Y,S159,B,0,100000,5,,,10,0
APPG60902857241,Female,28/06/89,01/07/16,C10001,A,COM0000187,C,4,7500,B001,P,Y,S133,C,0,98000,3,15.5,3421,7,0
APPJ30117254546,Male,05/09/86,01/07/16,C10003,A,COM0032570,B,4,2100,B001,P,Y,S122,B,133.3,20000,4,20,609,4,0
APPN90938759926,Female,02/12/93,01/07/16,C10003,A,COM0021601,A,4,1100,B003,G,N,S133,C,0,,,,,0,0
APPP90252874144,Male,20/06/82,01/07/16,C10001,A,COM0029996,C,4,1800,B002,P,Y,S133,C,0,40000,5,20,1060,2,0
APPQ60857695209,Male,13/07/81,01/07/16,C10003,A,COM0001784,C,4,4200,B004,P,Y,S133,C,0,69000,5,14.85,1636,7,0
APPR20642966332,Male,06/02/85,01/07/16,C10024,A,COM0023595,A,4,2500,B014,P,Y,S133,F,0,36000,5,19,934,4,0
APPS30450966446,Female,20/08/91,01/07/16,C10004,A,COM0000203,A,4,800,B022,G,N,S133,F,0,,,,,0,0
APPT10697719502,Male,06/04/96,01/07/16,C10005,A,COM0039123,A,4,12000,B009,G,Y,S133,C,0,180000,5,14.85,4268,2,0
APPU50442961628,Male,25/04/85,01/07/16,C10001,A,COM0000163,C,4,4000,B002,P,Y,S133,C,0,61000,4,14.85,1693,7,0
APPV80323301739,Male,10/12/86,01/07/16,C10097,C,COM0001081,C,4,3000,B003,G,Y,S133,B,0,60000,5,13.99,1396,7,0
APPW40696381842,Female,27/02/90,01/07/16,C10001,A,COM0003228,A,4,4000,B002,P,N,S133,B,0,,,,,10,0
APPX30574152909,Male,25/08/86,01/07/16,C10002,A,COM0000013,A,1,3363.7,B002,P,Y,S122,F,0,56000,5,,,4,0
APPY90963211026,Female,17/09/83,01/07/16,C10007,A,COM0000140,B,4,3000,B001,P,N,S133,B,0,,,,,10,0
APPZ60863399134,Male,10/12/75,01/07/16,C10003,A,COM0000090,C,3,4000,B002,P,Y,S133,B,446.5,5000,5,14.85,119,10,0
APPA40075523246,Male,11/10/85,01/07/16,C10007,A,COM0003379,A,4,2910,B021,P,Y,S133,C,0,44000,5,,,4,0
APPB20614524311,Male,26/03/87,01/07/16,C10003,A,COM0011908,A,4,3000,B004,P,Y,S122,B,0,5000,3,31,215,7,0
APPC40718711428,Male,26/03/87,01/07/16,C10003,A,COM0011908,A,4,3000,B004,P,Y,S122,B,0,10000,3,,,7,0
APPD80488917541,Female,06/04/87,01/07/16,C10003,A,COM0003188,B,4,5000,B004,P,N,S122,B,0,,,,,10,0
APPE10991138604,Female,15/07/91,01/07/16,C10001,A,COM0034496,A,4,1000,B002,P,N,S133,B,500,,,,,0,0
APPG50298465824,Female,03/09/90,01/07/16,C10004,A,COM0045758,A,4,1100,B016,G,N,S133,E,550,,,,,0,0
APPH30486371939,Female,10/12/75,01/07/16,C10003,A,COM0000090,C,3,4000,B002,P,N,S122,B,446.5,,,,,0,0
APPI40412748047,Male,20/07/51,01/07/16,C10003,A,COM0015350,A,4,4500,B002,P,Y,S133,B,0,94000,5,,,2,0
APPJ80866622106,Male,14/03/83,01/07/16,C10712,C,COM0050844,A,4,2500,B002,P,Y,S133,B,0,30000,5,20,795,7,0
APPK40555694212,Female,02/05/89,01/07/16,C10003,A,COM0012685,A,4,1800,B002,P,Y,S133,B,0,11000,1,,,2,0
APPL50553264328,Male,31/07/89,01/07/16,C10003,A,COM0008769,A,4,2000,B033,G,Y,S133,C,0,29000,5,20,768,4,0
APPM20228316432,Male,16/03/88,01/07/16,C10001,A,COM0000448,A,4,2050,B043,P,Y,S133,C,0,24000,3,16.75,853,4,0
APPN70287757546,Male,04/11/86,01/07/16,C10006,A,COM0000042,C,3,2500,B005,P,Y,S122,B,0,20000,3,14.75,691,10,0
APPO40102692605,Male,13/04/88,01/07/16,C10001,A,COM0000133,A,4,2000,B001,P,Y,S133,B,0,10000,5,,,4,0
APPP90856834733,Male,30/10/89,01/07/16,C10015,C,COM0019982,A,4,2470,B028,P,Y,S122,B,0,29000,4,24,945,4,0
APPQ60074651816,Female,20/06/96,01/07/16,C10023,B,COM0027055,A,4,1700,B008,G,N,S133,C,0,,,,,0,0
APPR10660344921,Male,11/04/84,01/07/16,C10027,A,COM0004043,B,4,2000,B004,P,Y,S122,B,0,10000,5,18.5,257,4,0
APPS40113906043,Male,22/12/82,01/07/16,C10013,B,COM0000060,A,3,2380,B033,G,Y,S133,C,0,35000,5,,,4,0
APPW50798487432,Female,19/07/86,01/07/16,C10003,A,COM0031178,A,4,1500,B002,P,N,S159,B,0,,,,,0,0
APPX40048168547,Male,31/08/90,01/07/16,C10001,A,COM0000009,A,1,2500,B003,G,Y,S133,C,0,36000,5,,,7,0
APPA70917503832,Male,07/02/84,01/07/16,C10005,A,COM0000613,B,4,1826.3,B005,P,Y,S133,E,500,20000,5,18.5,513,2,0
APPB40581766911,Female,15/10/92,01/07/16,C10005,A,COM0000085,A,3,1600,B001,P,Y,S133,F,0,37000,5,18.5,950,2,0
APPC60629749025,Female,25/07/90,01/07/16,C10001,A,COM0014801,A,4,3000,B003,G,Y,S137,B,500,10000,1,,,7,0
APPE40727601214,Male,10/10/91,01/07/16,C10020,A,COM0044756,C,4,2100,B047,P,Y,S159,C,0,30000,5,32.5,1017,4,0
APPG50978459433,Male,10/12/78,01/07/16,C10036,C,COM0000384,C,4,3500,B002,P,Y,S159,C,0,54000,5,16.75,1335,4,0
APPI70174011618,Male,14/01/88,01/07/16,C10004,A,COM0057136,C,4,2000,B004,P,Y,S133,B,0,30000,4,16.75,862,4,0
APPJ50730608732,Female,05/01/79,01/07/16,C10020,A,COM0006657,B,4,1200,B008,G,N,S122,C,0,,,,,0,0
APPK20706883848,Female,16/09/71,01/07/16,C10002,A,COM0007879,C,4,1938.7,B001,P,N,S143,B,0,,,,,2,0
APPL10961478906,Male,28/06/91,01/07/16,C10008,A,COM0000032,C,2,3500,B002,P,Y,S143,C,0,59000,5,14.85,1399,7,0
APPM40276336019,Male,28/03/83,01/07/16,C10001,A,COM0046510,A,4,10000,B024,G,Y,S133,B,0,100000,3,13.75,3406,10,0
APPN50870141141,Male,02/06/69,01/07/16,C10031,C,COM0009213,A,4,60000,B003,G,Y,S133,B,1500,100000,5,,,10,0
APPP30085211329,Male,01/02/94,01/07/16,C10004,A,COM0000034,C,1,2050,B006,P,Y,S159,C,0,32000,5,18.25,817,4,0
APPQ20489237441,Female,21/12/60,01/07/16,C10210,C,COM0030195,A,4,15150,B032,G,N,S133,B,3750,,,,,10,0
APPR80857559501,Male,17/06/87,01/07/16,C10002,A,COM0000059,A,1,5250,B002,P,Y,S133,B,0,30000,5,,,10,0
APPS50559286624,Male,06/05/77,01/07/16,C10001,A,COM0023213,B,4,1800,B001,P,Y,S143,F,0,40000,5,,,2,0
APPT70312486734,Female,25/07/86,01/07/16,C10005,A,COM0036353,A,4,1550,B003,G,N,S133,B,3.6,,,,,0,0
APPU10978596805,Male,03/08/89,01/07/16,C10006,A,COM0000108,C,1,2000,B004,P,Y,S143,B,300,10000,2,,,4,0
APPV50421944924,Male,09/04/83,01/07/16,C10003,A,COM0027868,C,4,3480,B010,G,Y,S122,B,891,20000,3,15.5,698,7,0
APPX90434158148,Male,23/01/90,01/07/16,C10023,B,COM0000019,A,1,4000,B001,P,Y,S133,C,0,64000,5,,,7,0
APPZ60530273322,Female,17/03/89,01/07/16,C10007,A,COM0000011,A,1,1400,B003,G,N,S133,C,0,,,,,0,0
APPA20245604448,Female,10/12/94,01/07/16,C10003,A,COM0055517,A,4,880,B004,P,N,S133,F,0,,,,,0,0
APPC30209536614,Male,20/01/78,01/07/16,C10121,C,COM0032503,A,4,4350,B008,G,Y,S133,B,0,30000,3,,,10,0
APPE50266495833,Male,10/10/87,01/07/16,C10162,C,COM0001542,A,4,1550,B020,G,Y,S133,B,0,10000,3,20,372,2,0
APPF40618872944,Female,25/02/97,01/07/16,C10017,B,COM0000014,A,,17600,B002,P,N,S122,B,0,,,,,0,0
APPG80892374006,Male,25/11/81,01/07/16,C10010,A,COM0017551,A,4,5500,B005,P,Y,S122,F,0,95000,5,14.85,2253,7,0
APPI90805823242,Female,05/06/89,01/07/16,C10028,C,COM0000306,C,4,950,B001,P,N,S127,B,324.5,,,,,0,0
APPJ20985246314,Male,14/07/82,01/07/16,C10005,A,COM0012734,A,4,3000,B011,P,Y,S133,C,0,45000,5,,,4,0
APPK90560511432,Female,14/07/84,01/07/16,C10004,A,COM0008820,B,4,5900,B011,P,N,S133,E,3500,,,,,0,0
APPL50520527544,Male,08/07/90,01/07/16,C10011,B,COM0044859,A,4,2700,B003,G,Y,S133,C,0,40000,5,,,10,0
APPM40090599603,Male,07/12/80,01/07/16,C10019,B,COM0011887,A,4,3500,B003,G,Y,S133,C,0,54000,5,,,4,0
APPP20767478933,Female,07/03/86,01/07/16,C10006,A,COM0004692,B,4,12000,B005,P,N,S133,B,4910,,,,,0,0
APPR20482552108,Male,09/02/87,01/07/16,C10009,B,COM0006485,B,4,6000,B004,P,Y,S122,B,0,50000,3,14.85,1730,10,0
APPS60753524216,Male,22/11/87,01/07/16,C10002,A,COM0000004,B,2,2298.9,B004,P,Y,S133,F,0,36000,5,,,4,0
APPT80512495311,Female,27/08/97,01/07/16,C10169,C,COM0022498,A,4,2700,B004,P,N,S133,B,1300,,,,,0,0
APPU60917577429,Male,05/04/87,01/07/16,C10003,A,COM0002411,A,4,7000,B002,P,Y,S122,B,1200,50000,5,13.5,1150,10,0
APPV80018476542,Female,19/08/86,01/07/16,C10069,C,COM0001718,C,4,1200,B003,G,N,S144,B,0,,,,,0,0
