customer,duration,avg_ret_exp,avg_ret_exp_sq,industry,revenue,employees,total_crossbuy,total_freq,total_freq_sq,censor
1,500,89.61,8029.9521,1,30.16,1240,6,16,256,0
2,730,49.89,2489.0121,0,39.8,166,6,10,100,1
3,730,40.7,1656.49,0,54.93,1016,2,14,196,1
4,340,85.76,7354.7776,0,45.83,122,2,15,225,0
5,730,31.9,1017.61,0,69.03,313,1,9,81,1
6,408,79.18,6269.4724,1,22.54,359,3,12,144,0
7,730,61.08,3730.7664,0,32.97,902,6,20,400,1
8,272,87.78,7705.3284,1,22.48,264,3,19,361,0
9,432,99.78,9956.0484,1,17.98,1782,2,17,289,0
10,119,122.68,15050.3824,0,38.91,539,4,14,196,0
11,730,0.66,0.4356,0,28.85,605,5,17,289,1
12,520,14.34,205.6356,1,49.41,87,2,18,324,0
13,530,87.8,7708.84,1,41.91,625,5,15,225,0
14,730,45.63,2082.0969,1,58.91,1507,3,15,225,1
15,704,31.89,1016.9721,0,39.97,643,2,3,9,0
16,629,34.06,1160.0836,0,33.78,41,2,17,289,0
17,699,9.61,92.3521,1,23.41,398,2,10,100,0
18,730,26.05,678.6025,1,30.21,885,5,7,49,1
19,730,52.71,2778.3441,0,60.07,1385,4,5,25,1
20,730,29.83,889.8289,0,49.28,544,5,16,256,1
21,423,66.45,4415.6025,1,8.1,893,3,4,16,0
22,730,10.4,108.16,1,37.08,746,2,18,324,1
23,453,72.05,5191.2025,1,10.24,1140,3,2,4,0
24,730,46.32,2145.5424,0,47.57,1293,2,19,361,1
25,479,81.39,6624.3321,0,59.86,1032,4,9,81,0
26,525,70.15,4921.0225,1,29.57,390,4,6,36,0
27,389,66.07,4365.2449,1,37.49,163,3,10,100,0
28,730,29.43,866.1249,0,8.62,93,4,12,144,1
29,730,1.2,1.44,1,10.18,1446,6,16,256,1
30,730,33.49,1121.5801,1,47.99,283,5,3,9,1
31,359,56.7,3214.89,0,1.86,86,3,7,49,0
32,674,27.36,748.5696,0,25.8,515,5,4,16,0
33,730,21.9,479.61,1,60.24,1188,3,11,121,1
34,730,48.31,2333.8561,0,74.86,350,4,16,256,1
35,730,2.46,6.0516,0,26.46,728,5,9,81,1
36,446,57.16,3267.2656,1,27.08,99,4,9,81,0
37,528,81.62,6661.8244,0,34.46,440,5,10,100,0
38,676,39.38,1550.7844,1,15.75,1202,3,4,16,0
39,602,24.47,598.7809,1,27.95,356,2,11,121,0
40,628,64.48,4157.6704,1,42.77,52,3,17,289,0
41,730,28.84,831.7456,0,3.47,639,5,5,25,1
42,730,9.84,96.8256,0,42.32,983,5,4,16,1
43,730,2.27,5.1529,1,13.98,1265,1,11,121,1
44,730,39.68,1574.5024,1,60.06,1062,4,3,9,1
45,526,57.85,3346.6225,0,28.79,283,3,16,256,0
46,730,10.3,106.09,1,45.96,418,4,5,25,1
47,730,14.03,196.8409,0,50.15,1630,3,20,400,1
48,730,66.4,4408.96,1,64.2,1478,3,11,121,1
49,730,9.33,87.0489,1,15.98,1040,3,9,81,1
50,79,121.55,14774.4025,1,40.09,85,2,14,196,0
51,710,3.06,9.3636,1,41.02,274,5,16,256,0
52,420,38.29,1466.1241,0,21.31,199,1,17,289,0
53,347,75.54,5706.2916,1,39.73,384,3,4,16,0
54,730,2.37,5.6169,0,68.71,1510,5,13,169,1
55,730,18.46,340.7716,0,48.62,917,3,4,16,1
56,538,1.08,1.1664,1,54.45,225,3,3,9,0
57,730,10.97,120.3409,1,31.37,238,6,20,400,1
58,522,0.62,0.3844,0,24.61,394,1,13,169,0
59,466,80.56,6489.9136,0,54.83,230,2,12,144,0
60,592,7.71,59.4441,1,25.69,295,4,8,64,0
61,730,10.26,105.2676,0,56.65,1539,3,21,441,1
62,543,31.71,1005.5241,1,45.67,563,2,3,9,0
63,657,42.24,1784.2176,1,18.52,220,3,6,36,0
64,730,27.68,766.1824,1,12.39,1403,6,16,256,1
65,730,25.93,672.3649,0,14.8,596,3,14,196,1
66,426,61.22,3747.8884,0,51.12,626,2,2,4,0
67,567,54.76,2998.6576,0,39.83,991,1,13,169,0
68,721,11.32,128.1424,1,58.03,22,2,20,400,0
69,730,8.35,69.7225,0,57.91,877,2,3,9,1
70,730,9.03,81.5409,0,15.66,1608,2,16,256,1
71,522,17.51,306.6001,1,67.61,76,3,2,4,0
72,730,19.87,394.8169,1,44.38,481,4,14,196,1
73,650,8.53,72.7609,0,19.07,293,5,13,169,0
74,730,73.34,5378.7556,1,32.4,1445,4,12,144,1
75,573,60.11,3613.2121,1,40.84,132,6,7,49,0
76,702,57.5,3306.25,0,41.37,846,1,19,361,0
77,123,124.38,15470.3844,0,16.19,379,5,7,49,0
78,730,25.01,625.5001,1,3.23,1172,5,10,100,1
79,706,79.09,6255.2281,0,55.79,1091,3,15,225,0
