customer,gender,married,income,first_purchase,sow,clv,loyalty
1,1,0,4,33.55,46,759.12,1
2,1,0,3,94.01,28,160.77,1
3,1,0,3,157.55,30,486.42,1
4,0,0,2,211.49,82,1983.2,0
5,0,0,4,165.22,100,2445.97,1
6,0,1,5,138.77,100,2270.71,0
7,0,0,5,98.36,6,32.15,0
8,0,0,3,169.44,18,253.36,0
9,1,1,2,126.38,42,663.85,0
10,0,1,5,121.26,66,1628.76,0
11,1,0,6,54.92,86,1949.9,1
12,0,0,4,60.82,18,408.24,1
13,0,0,3,133.75,88,2027.92,1
14,0,0,2,162.39,79,1795.4,0
15,0,1,5,112.12,46,328.92,0
16,0,0,4,165.13,21,243.49,0
17,0,0,6,155.1,25,209.72,1
18,1,0,2,216.92,13,305.33,0
19,1,0,3,100.17,38,389.38,1
20,0,0,5,81.13,49,775.58,1
21,0,1,2,95.35,28,972.12,0
22,1,0,4,181.15,88,2622.67,1
23,0,0,1,139.78,26,634.85,0
24,1,0,2,87.14,81,1611.54,1
25,1,0,1,115.63,29,525.97,0
26,1,0,4,113.4,63,1097.49,1
27,1,1,6,97.82,38,623.19,0
28,1,1,5,145.22,55,310.47,1
29,0,1,6,114.15,92,1868.35,1
30,1,1,5,126.99,67,1834.26,1
31,0,0,2,60.75,37,705.95,1
32,1,0,4,57.15,53,507.19,1
33,1,0,5,123.85,26,646.85,1
34,0,0,2,113.09,80,1441.99,1
35,1,0,3,128.3,36,1324.6,0
36,0,0,5,120.17,100,2229.87,1
37,1,0,2,135.29,2,430.3,1
38,1,0,4,109.17,26,300.92,0
39,1,0,1,121.66,51,1600.97,1
40,0,0,5,71.08,48,1461.94,0
41,0,0,4,108.25,86,1804.95,0
42,1,0,4,158.36,61,1928.08,0
43,0,0,4,187.14,100,1697.76,1
44,1,0,2,140.09,38,661.83,1
45,1,0,4,82.26,51,1386.5,1
46,1,0,6,159.73,61,1439.69,0
47,0,1,5,47.88,34,479.77,1
48,0,0,6,178.57,38,571.47,1
49,0,0,4,33.7,4,0.62,1
50,0,1,2,68.04,13,205.94,0
51,1,0,3,129.37,17,972.05,0
52,0,0,5,187.54,84,1991.56,1
53,1,0,5,46.79,11,296.04,0
54,1,1,4,145.68,100,2589.15,0
55,1,1,4,78.99,84,1654.82,1
56,0,1,4,162.52,41,283.61,1
57,1,0,6,94.11,86,2491.38,0
58,1,1,1,173.31,34,357.67,0
59,1,0,5,130.37,100,2283.02,1
60,1,0,6,131.11,49,1394.41,1
61,0,1,4,195.42,100,2281.82,0
62,0,0,5,94.39,65,1262.06,1
63,1,0,2,83.76,43,1122.87,1
64,0,0,5,116.64,35,711.75,0
65,1,1,2,145.93,32,308.59,0
66,0,1,2,125.51,52,682.88,1
67,1,0,4,178.69,51,1037.52,1
68,0,0,6,160.25,58,790.88,0
69,0,0,6,99.94,15,102.02,0
70,1,0,3,76.08,95,2090.96,1
71,1,1,3,114.91,100,2415.72,1
72,0,0,4,89.06,50,660.91,1
73,0,0,5,67.66,28,394.19,1
74,1,0,4,188.56,100,2800.89,0
75,0,1,2,166.05,23,259.87,1
76,0,0,6,37.71,63,1301.61,1
77,1,0,4,113.93,41,687.69,0
78,0,0,2,143.22,100,2340.53,1
79,1,0,2,57.78,25,363.09,1
80,1,1,3,173.67,24,319.37,1
81,0,1,3,119.85,37,414.87,1
82,1,0,3,173.69,81,2337.88,1
83,0,0,5,124.93,100,2204.58,1
84,0,0,4,157.09,39,211.18,1
85,1,0,4,171.53,43,1292.4,1
86,0,0,1,177.55,15,229.22,1
87,1,0,6,86.43,28,202.33,1
88,0,0,4,70.83,83,1428.02,1
89,1,0,4,142.67,22,364.78,1
90,0,1,3,32.81,42,1033.82,0
91,1,0,5,168.79,41,487.78,1
92,1,0,3,99.87,3,166.6,1
93,0,1,2,136.17,39,718.06,1
94,0,0,2,134.12,40,420.41,1
95,0,0,4,192.2,10,404.9,1
96,0,0,6,83.7,98,2007.11,1
97,1,0,1,150.68,11,214.03,0
98,0,1,4,117.97,96,2430.71,0
99,0,0,1,127.97,61,1074.75,1
100,0,0,2,107.54,33,356.37,1
101,0,0,5,145.52,73,1531.02,1
102,0,0,5,144.99,86,2001.46,0
103,0,0,5,112.79,96,2419.12,1
104,1,1,2,105.64,41,586.89,1
105,0,0,2,140.83,32,667.71,1
106,1,0,4,94.07,56,1479.1,0
107,1,0,6,140.16,100,4257.57,1
108,0,0,2,57.57,87,1476.07,1
109,1,1,2,134.57,94,2291.43,1
110,0,1,1,77.66,28,319.91,0
111,1,0,6,43.88,97,2283.8,1
112,1,0,3,64.61,77,2120.61,1
113,0,0,1,158.24,18,437.93,0
114,1,0,3,167.9,72,1470.22,1
115,1,0,5,53.01,73,1635.94,1
116,0,1,4,142.2,69,1978.59,0
117,1,1,3,149.87,16,240.06,1
118,1,0,2,151.68,37,280.58,1
119,1,0,6,192.37,64,1355.96,1
120,0,1,5,179.64,97,2697.49,1
121,1,0,3,63.45,12,343.63,1
122,0,0,1,160.84,27,816.17,0
123,0,1,6,71.93,27,464.41,0
124,1,1,5,127.66,27,565.64,1
125,0,1,2,147.76,20,175.89,0
126,1,0,6,179.65,71,1629.5,0
127,0,0,4,60.8,15,459.52,1
128,1,0,1,58.71,8,298.58,1
129,1,0,5,191.54,52,736.16,1
130,1,0,3,94.21,61,1947.89,1
131,1,0,5,69.43,68,1051.62,1
132,0,0,2,130.24,24,331.44,1
133,0,0,2,182.67,57,901.78,1
134,1,0,2,62.39,32,880.81,1
135,0,0,6,160.51,100,2618.42,1
136,1,0,5,200.08,100,2592.07,1
137,1,0,6,95.09,100,2353.87,1
138,0,0,4,32.12,58,1534.64,0
139,0,0,6,142.78,44,794.83,1
140,1,0,3,68.36,100,2239.97,1
141,0,0,4,184.58,86,2019.3,1
142,1,0,4,54.51,14,-30.33,0
143,1,1,3,171.76,100,2699.56,1
144,0,0,6,102.03,100,2294.48,1
145,0,1,6,183.34,100,3506.81,0
146,1,1,2,127.42,100,2061.45,1
147,1,0,4,78.01,98,2146.28,1
148,1,1,2,103.06,72,1998.24,0
149,0,0,4,45.44,26,307.31,1
150,0,0,4,114.76,53,791.65,0
151,0,0,5,57.23,45,581.5,1
152,0,0,5,106.82,85,1874.93,1
153,0,1,2,48.23,13,2.44,1
154,0,0,3,148.53,56,1156.02,0
155,0,0,4,109.36,27,541.51,0
156,0,1,3,73.8,20,59.69,1
157,0,0,4,78.7,78,1928.51,1
158,0,0,5,142.54,28,247.7,0
159,0,0,6,51.18,82,1699.15,1
160,1,0,3,188.86,78,1449.85,0
161,0,0,5,91.12,27,207.11,1
162,1,0,2,120.51,14,244.47,1
163,1,1,5,102.53,82,1646.04,0
164,1,0,3,67.57,22,306.74,0
165,0,0,5,138.97,78,1478.71,1
166,0,0,6,80.84,75,1812.49,1
167,1,1,5,208.74,98,2179.81,0
168,1,0,6,152.65,34,361.2,1
169,1,0,4,184.45,69,1517,0
170,0,0,3,82.36,37,347.19,1
171,0,0,5,129.31,16,363.54,0
172,1,1,4,51.64,56,854.08,1
173,0,1,1,112.55,31,565.48,0
174,1,0,2,148.39,33,785.68,1
175,0,1,5,89.23,37,637.03,1
176,0,0,4,92.11,100,2151.57,1
177,0,0,5,77.72,78,2033.98,1
178,1,0,1,72.49,35,469.73,1
179,0,0,2,174.35,58,1288.05,1
180,1,0,3,187.58,92,2725.03,1
181,0,1,3,164.21,89,2468.48,1
182,0,0,3,144.56,38,737.44,1
183,0,0,1,120.77,51,704.19,1
184,1,1,3,168.68,100,2034.18,1
185,0,0,3,121.72,34,271.27,1
186,1,0,4,130.38,62,1356.68,0
187,1,0,3,171.93,51,1285.83,0
188,0,0,2,83.1,13,211.81,0
189,0,0,2,171.09,28,252.05,1
