 ? What is your gender   , ? Are you a shopping person ,  ? Rate your shopping behavior out of 5 , ? Are you a heavy shopper  ,   ? How many times do you go to super market a week (nearly),What is the most entertainment  ad you watched recently  ?,Type of ads you prefer or watch ?,How many adverts do you watch ads daily (nearly) ?,Do you prefer internet ads or tv ads more ?,Have you ever search for an advert advert before ?,-        What is you’re the most advert paradigm(method) you deal with ?,What Do you watch TV more  advertisements or social media (internet)  advertisements ?,How many times did you search for an advert ? (nearly),When I watch advertisements I buy or go shopping ? ,"After watching advertisements , do you search for it ?",Have you ever bought something due to an advertisements ?,Did you think that the advert can change your buying behavior ?,Did you find information in the adverts beneficial ?,Do you think that advertisements is important for businesses ?,What do you think can make you buy from an advert ? [The way introducing product ],What do you think can make you buy from an advert ? [the script ],What do you think can make you buy from an advert ? [the actors that work on ],What do you think can make you buy from an advert ? [the company made it]
Male,Yes,3,2,4,Zain ad,Funny ads,10,Internet,Yes,Telecom companies advertisements,Internet advertisements,6--9 times,1,No,Yes,,Yes,Yes,Strongly Agree,Agree,Strongly Disagree,Disagree
Male,Yes,4,3,4,other,Funny ads,4,Internet,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,3,Yes,Yes,Yes,Yes,Yes,Neutral,Strongly Agree,Agree,Strongly Agree
Male,Yes,3,3,4,Vodafone ad,Funny ads,4,Internet,Yes,Charities advertisements,Internet advertisements,1--3 times,3,Yes,No,No,Yes,Yes,Neutral,Neutral,Agree,Neutral
Male,No,5,5,more than 6,other,Funny ads,1,Internet,No,business ads,Internet advertisements,more than 9 times,5,No,Yes,No,Yes,No,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
Male,Yes,4,4,6,Etisalat ad,Funny ads,2,Internet,Yes,business ads,Internet advertisements,1--3 times,5,Yes,Yes,No,Yes,Yes,Neutral,Agree,Agree,Strongly Agree
Male,Yes,1,1,2,Vodafone ad,Cartoon ads,1,TV,Yes,Telecom companies advertisements,TV advertisements,1--3 times,1,No,Yes,Yes,Yes,Yes,Strongly Agree,Agree,Agree,Agree
Male,Yes,4,3,2,Vodafone ad,Funny ads,4,Internet,Yes,Real estate ads,Internet advertisements,1--3 times,2,Yes,Yes,Yes,No,Yes,Agree,Neutral,Strongly Agree,Strongly Agree
Male,No,3,1,2,other,Cartoon ads,5,TV,No,Real estate ads,TV advertisements,1--3 times,1,No,No,Yes,Yes,Yes,Neutral,Neutral,Neutral,Neutral
Male,Yes,3,3,2,other,Funny ads,2,TV,No,,TV advertisements,1--3 times,2,No,Yes,No,Yes,Yes,Agree,Neutral,Neutral,Agree
Male,No,5,1,2,other,Funny ads,3,Internet,Yes,Real estate ads,Internet advertisements,1--3 times,1,No,Yes,No,Yes,Yes,Strongly Agree,Neutral,Neutral,Strongly Agree
Female,Yes,3,3,4,Vodafone ad,Funny ads,2,Internet,Yes,Telecom companies advertisements,Internet advertisements,1--3 times,2,No,No,Yes,Yes,Yes,Agree,Neutral,Agree,Strongly Agree
Male,Yes,3,2,2,other,Funny ads,4,Internet,Yes,Real estate ads,TV advertisements,3--6 times,3,No,Yes,No,Yes,No,Agree,Neutral,Strongly Agree,Disagree
