,Price,Bedroom,Bathroom,sqft,zipcode,Address
0,"$289,900",3 Bd,2 Bath,"1,431 Sqft",13084,"1839 Collins Road,
       
        Pompey, NY 13084"
1,"$199,900",3 Bd,1 Bath,985 Sqft,13084,"5850 Winacre Drive,
       
        La Fayette, NY 13084"
2,"$114,900",3 Bd,2 Bath,"1,274 Sqft",13084,"3439 Route 11,
       
        La Fayette, NY 13084"
3,"$205,092",3 Bd,1 Bath,"1,260 Sqft",13077,"5390 Mead Road,
       
        Homer, NY 13077"
4,"$24,900",1 Bd,1 Bath,842 Sqft,13120,"155 Meredith Avenue,
       
        Onondaga Indian Reservation, NY 13120"
5,"$80,000",4 Bd,1 Bath,"1,330 Sqft",13120,"104 West Roswell Avenue,
       
        Onondaga Indian Reservation, NY 13120"
6,"$469,900",,,,13052,"27 S Lake Rd,
       
        De Ruyter, NY 13052"
7,"$145,000",3 Bd,2 Bath,958 Sqft,13077,"6835 State Route 41,
       
        Scott, NY 13077"
8,"$79,900",,,,13205,"151 Matson Ave E,
       
        Syracuse, NY 13205"
9,"$257,500",4 Bd,2 Bath,"2,800 Sqft",13077,"5625 State Route 41,
       
        Homer, NY 13077"
10,"$238,000",,,,13104,"112 Academy St,
       
        Manlius, NY 13104"
11,"$60,000",,,,13207,"714 Valley Dr,
       
        Syracuse, NY 13207"
12,"$220,000",,,,13205,"129 W Pleasant Ave Ave,
       
        Syracuse, NY 13205"
13,"$224,900",4 Bd,2 Bath,"2,012 Sqft",13077,"16 Elm Avenue,
       
        Homer, NY 13077"
14,"$143,000",,,,13205,"916 Cannon St,
       
        Syracuse, NY 13205"
15,"$140,000",,,,13210,"837 E Colvin,
       
        Syracuse, NY 13210"
16,"$139,500",3 Bd,1 Bath,"1,137 Sqft",13077,"84 Cayuga Street,
       
        Homer, NY 13077"
17,"$135,000",,,,13207,"109 Elmwood Ave,
       
        Syracuse, NY 13207"
18,"$220,000",3 Bd,1 Bath,"1,404 Sqft",13101,"4150 State Route 41,
       
        Solon, NY 13101"
19,"$98,900",,,,13207,"128 Bishop Ave,
       
        Syracuse, NY 13207"
20,"$225,000",3 Bd,2 Bath,"1,900 Sqft",13101,"4116 State Route 41,
       
        Solon, NY 13101"
21,"$129,900",,,,13207,"161 Charmouth Dr,
       
        Syracuse, NY 13207"
22,"$384,900",4 Bd,3 Bath,"2,128 Sqft",13021,"2640 Turnpike Rd,
       
        Auburn, NY 13021"
23,"$249,900",3 Bd,2 Bath,"1,632 Sqft",13021,"7336 Owasco Road,
       
        Owasco, NY 13021"
24,"$169,900",3 Bd,2 Bath,"1,309 Sqft",13021,"6995 N Division Street Road,
       
        Throop, NY 13021"
25,"$349,900",4 Bd,2 Bath,"1,680 Sqft",13021,"6439 Sharon Drive,
       
        Sennett, NY 13021"
26,"$309,900",3 Bd,1 Bath,"2,318 Sqft",13021,"7242 State Street Road,
       
        Throop, NY 13021"
27,"$150,000",,,,13021,"5 Lafayette Pl,
       
        Auburn, NY 13021"
28,"$156,900",3 Bd,2 Bath,"1,506 Sqft",13021,"29 Van Patten,
       
        Auburn, NY 13021"
29,"$345,000",,,,13021,"5561 Bevier Rd,
       
        Auburn, NY 13021"
30,"$647,500",3 Bd,3 Bath,"1,704 Sqft",13021,"6038 W Lake Road,
       
        Fleming, NY 13021"
31,"$149,000",3 Bd,2 Bath,"1,580 Sqft",13021,"19-21 Baker Avenue,
       
        Auburn, NY 13021"
32,"$224,900",3 Bd,2 Bath,"1,144 Sqft",13021,"42 Wilbur Avenue,
       
        Auburn, NY 13021"
33,"$269,900",5 Bd,3 Bath,"2,664 Sqft",13021,"3338-3342 Franklin Street Road,
       
        Sennett, NY 13021"
34,"$269,900",3 Bd,2 Bath,"2,664 Sqft",13021,"3342 Franklin Street Road,
       
        Sennett, NY 13021"
35,"$24,900",,,,13021,"180 Dunning Avenue,
       
        Auburn, NY 13021"
36,"$20,100",,,,13021,"7-9 Willard Street,
       
        Auburn, NY 13021"
37,"$199,900",3 Bd,1 Bath,"1,444 Sqft",13021,"1370 W Genesee Street Road,
       
        New York, NY 13021"
38,"$49,900",3 Bd,1 Bath,"1,954 Sqft",13021,"4191 Rockefeller Road,
       
        Niles, NY 13021"
39,"$85,000",6 Bd,2 Bath,"1,800 Sqft",13021,"41 Parker Street,
       
        Auburn, NY 13021"
40,"$49,900",2 Bd,1 Bath,"1,242 Sqft",13021,"53 West Street,
       
        Auburn, NY 13021"
41,"$249,900",2 Bd,1 Bath,"2,376 Sqft",13021,"4069 Sam Adams Lane,
       
        Niles, NY 13021"
42,"$195,000",4 Bd,3 Bath,"2,156 Sqft",13021,"7 Hockeborne Avenue,
       
        Auburn, NY 13021"
43,"$269,900",3 Bd,2 Bath,"1,722 Sqft",13021,"5505 State Route 34,
       
        Fleming, NY 13021"
44,"$269,900",3 Bd,2 Bath,"1,722 Sqft",13021,"5505 State Route 34,
       
        Fleming, NY 13021"
45,"$647,500",3 Bd,3 Bath,"1,704 Sqft",13021,"6038 W Lake Road,
       
        Fleming, NY 13021"
46,"$224,900",3 Bd,2 Bath,"1,144 Sqft",13021,"42 Wilbur Avenue,
       
        Auburn, NY 13021"
47,"$156,900",3 Bd,2 Bath,"1,506 Sqft",13021,"29 Van Patten,
       
        Auburn, NY 13021"
48,"$249,900",3 Bd,2 Bath,"1,632 Sqft",13021,"7336 Owasco Road,
       
        Owasco, NY 13021"
49,"$150,000",,,,13021,"5 Lafayette Pl,
       
        Auburn, NY 13021"
50,"$49,900",2 Bd,1 Bath,"1,242 Sqft",13021,"53 West Street,
       
        Auburn, NY 13021"
51,"$349,900",4 Bd,2 Bath,"1,680 Sqft",13021,"6439 Sharon Drive,
       
        Sennett, NY 13021"
52,"$345,000",,,,13021,"5561 Bevier Rd,
       
        Auburn, NY 13021"
53,"$169,900",3 Bd,2 Bath,"1,309 Sqft",13021,"6995 N Division Street Road,
       
        Throop, NY 13021"
54,"$269,900",3 Bd,2 Bath,"2,664 Sqft",13021,"3342 Franklin Street Road,
       
        Sennett, NY 13021"
55,"$309,900",3 Bd,1 Bath,"2,318 Sqft",13021,"7242 State Street Road,
       
        Throop, NY 13021"
56,"$384,900",4 Bd,3 Bath,"2,128 Sqft",13021,"2640 Turnpike Rd,
       
        Auburn, NY 13021"
57,"$199,900",3 Bd,1 Bath,"1,444 Sqft",13021,"1370 W Genesee Street Road,
       
        New York, NY 13021"
58,"$249,900",2 Bd,1 Bath,"2,376 Sqft",13021,"4069 Sam Adams Lane,
       
        Niles, NY 13021"
59,"$424,900",2 Bd,2 Bath,"1,520 Sqft",13160,"1673 Kings Corners Road,
       
        Ledyard, NY 13160"
60,"$299,900",5 Bd,1 Bath,"2,652 Sqft",13147,"3179 State Route 34,
       
        Scipio, NY 13147"
61,"$100,000",4 Bd,1 Bath,"1,568 Sqft",13026,"1517 Levanna Road,
       
        Ledyard, NY 13026"
62,"$494,900",4 Bd,4 Bath,"2,476 Sqft",13166,"4 Ross Circle,
       
        Brutus, NY 13166"
63,"$880,000",6 Bd,4 Bath,"2,600 Sqft",13034,"5885 Waynes Point,
       
        New York, NY 13034"
64,"$309,999",3 Bd,2 Bath,"1,539 Sqft",13034,"6689 State Route 90 N,
       
        New York, NY 13034"
65,"$269,000",3 Bd,2 Bath,"2,214 Sqft",13148,"2263 Lower Lake Road,
       
        Seneca Falls, NY 13148"
66,"$399,900",4 Bd,2 Bath,720 Sqft,13026,"1469 Honoco Road,
       
        Ledyard, NY 13026"
67,"$739,900",4 Bd,2 Bath,"1,748 Sqft",13026,"1701 Honoco Road,
       
        Ledyard, NY 13026"
68,"$295,000",4 Bd,3 Bath,"1,876 Sqft",13026,"11 Woods End,
       
        Ledyard, NY 13026"
69,"$100,000",4 Bd,1 Bath,"1,568 Sqft",13026,"1517 Levanna Road,
       
        Ledyard, NY 13026"
70,"$325,000",3 Bd,2 Bath,"1,795 Sqft",13026,"11 Wells Road,
       
        Ledyard, NY 13026"
71,"$1,395,000",3 Bd,3 Bath,"3,008 Sqft",13026,"165 Main Street,
       
        Ledyard, NY 13026"
72,"$425,000",4 Bd,2 Bath,"2,400 Sqft",13026,"246 Main St Street,
       
        Ledyard, NY 13026"
73,"$425,000",8 Bd,4 Bath,"4,760 Sqft",13026,"10 Woods End,
       
        Ledyard, NY 13026"
74,"$725,000",3 Bd,2 Bath,"2,273 Sqft",13026,"237 Main Street,
       
        Ledyard, NY 13026"
75,"$159,900",2 Bd,1 Bath,908 Sqft,13026,"30 Wells Road,
       
        Ledyard, NY 13026"
76,"$799,900",,,,13026,"245 Main Street,
       
        Ledyard, NY 13026"
77,"$424,900",2 Bd,2 Bath,"1,520 Sqft",13160,"1673 Kings Corners Road,
       
        Ledyard, NY 13160"
78,"$299,900",5 Bd,1 Bath,"2,652 Sqft",13147,"3179 State Route 34,
       
        Scipio, NY 13147"
79,"$685,000",3 Bd,2 Bath,"2,138 Sqft",14521,"7370 Wyers Point Road,
       
        Ovid, NY 14521"
80,"$350,000",,,,13081,"1468 Powers Road,
       
        Genoa, NY 13081"
81,"$1,449,000",2 Bd,1 Bath,"1,637 Sqft",14521,"6128 Route 89,
       
        Romulus, NY 14521"
82,"$265,000",3 Bd,3 Bath,"1,466 Sqft",14847,"4003 Deerlick Springs Road,
       
        Ovid, NY 14847"
83,"$327,500",3 Bd,2 Bath,"1,857 Sqft",14882,"846 Davis Road,
       
        Lansing, NY 14882"
84,"$269,900",3 Bd,2 Bath,"1,722 Sqft",13021,"5505 State Route 34,
       
        Fleming, NY 13021"
85,"$399,000",7 Bd,6 Bath,"3,130 Sqft",14847,"8347 MAIN Street,
       
        Covert, NY 14847"
86,"$880,000",6 Bd,4 Bath,"2,600 Sqft",13034,"5885 Waynes Point,
       
        New York, NY 13034"
87,"$199,900",3 Bd,1 Bath,"1,444 Sqft",13021,"1370 W Genesee Street Road,
       
        New York, NY 13021"
88,"$174,900",2 Bd,2 Bath,"1,050 Sqft",13027,"1221 Landrush Way,
       
        Van Buren Pt, NY 13027"
89,"$134,900",,,,13027,"335 Village Blvd N #335,
       
        Baldwinsville, NY 13027"
90,"$235,000",1 Bd,1 Bath,697 Sqft,13027,"1082 LYNCH RD,
       
        BALDWINSVILLE, NY 13027"
91,"$240,000",,,,13027,"31 Lanyard Lane,
       
        Baldwinsville, NY 13027"
92,"$385,000",,,,13027,"6809 Jayhawk Circle,
       
        Baldwinsville, NY 13027"
93,"$399,900",5 Bd,4 Bath,"2,920 Sqft",13027,"33 Waterfront Drive,
       
        Van Buren Pt, NY 13027"
94,"$230,000",2 Bd,1 Bath,936 Sqft,13112,"6520 CHURCH ST,
       
        MEMPHIS, NY 13112"
95,"$234,787",,,,13209,"123 Peck Road Ext,
       
        Van Buren Pt, NY 13209"
96,"$199,900",,,,13209,"123 Peck Rd Ext,
       
        Syracuse, NY 13209"
97,"$165,000",,,,13112,"7991 Plainville Rd,
       
        Memphis, NY 13112"
98,"$134,900",,,,13135,"36 Spring St,
       
        Phoenix, NY 13135"
99,"$209,000",2 Bd,2 Bath,"1,200 Sqft",13090,"3647 Black Brant Drive,
       
        Clay, NY 13090"
100,"$329,900",3 Bd,3 Bath,"1,776 Sqft",13090,"3720 Black Brant Drive,
       
        Clay, NY 13090"
