ds,method,split_number,zscore_norm
10_loan_repay,CatBoost,0,0.5425613150022857
10_loan_repay,CatBoost,1,0.5168865493316777
10_loan_repay,CatBoost,2,0.5203526426972095
10_loan_repay,CatBoost,3,0.5878130894967325
10_loan_repay,CatBoost,4,0.6470576112816602
10_loan_repay,CatBoost,5,0.6800320217918228
10_loan_repay,CatBoost,6,0.4836630933767798
10_loan_repay,CatBoost,7,0.7940032580853854
10_loan_repay,CatBoost,8,0.6626960663443243
10_loan_repay,CatBoost,9,0.6143996047361876
10_loan_repay,KNN,0,0.17308539027369116
10_loan_repay,KNN,1,0.4279555797401085
10_loan_repay,KNN,2,0.19030353000154224
10_loan_repay,KNN,3,0.26102146269552345
10_loan_repay,KNN,4,0.33310336731575557
10_loan_repay,KNN,5,0.4245544816127656
10_loan_repay,KNN,6,0.29165188870237313
10_loan_repay,KNN,7,0.4041865127737479
10_loan_repay,KNN,8,0.3154306900308591
10_loan_repay,KNN,9,0.19109059808629095
10_loan_repay,LightGBM,0,0.42673602837075447
10_loan_repay,LightGBM,1,0.5359179693850153
10_loan_repay,LightGBM,2,0.41290374836571414
10_loan_repay,LightGBM,3,0.6266782660306155
10_loan_repay,LightGBM,4,0.5709640245253955
10_loan_repay,LightGBM,5,0.614139407867477
10_loan_repay,LightGBM,6,0.5107991020181039
10_loan_repay,LightGBM,7,0.6188642658426725
10_loan_repay,LightGBM,8,0.6495856496203595
10_loan_repay,LightGBM,9,0.573011818607591
10_loan_repay,LogReg,0,0.4892219893215974
10_loan_repay,LogReg,1,0.6938498717163437
10_loan_repay,LogReg,2,0.5964462294534743
10_loan_repay,LogReg,3,0.6552735362962555
10_loan_repay,LogReg,4,0.6513902279885754
10_loan_repay,LogReg,5,0.6745728953475093
10_loan_repay,LogReg,6,0.49295318574692715
10_loan_repay,LogReg,7,0.6393599335458844
10_loan_repay,LogReg,8,0.6843860940126496
10_loan_repay,LogReg,9,0.6186090767725586
10_loan_repay,MLP,0,0.46117230782645807
10_loan_repay,MLP,1,0.3836666089583097
10_loan_repay,MLP,2,0.4589578592873677
10_loan_repay,MLP,3,0.7019374229025855
10_loan_repay,MLP,4,0.500679353502106
10_loan_repay,MLP,5,0.6724020146562033
10_loan_repay,MLP,6,0.4525045705133297
10_loan_repay,MLP,7,0.6716038967549881
10_loan_repay,MLP,8,0.6294380239195594
10_loan_repay,MLP,9,0.6325549612289335
10_loan_repay,RandomForest,0,0.5193096053418408
10_loan_repay,RandomForest,1,0.564978594778435
10_loan_repay,RandomForest,2,0.4329140188602456
10_loan_repay,RandomForest,3,0.596991818223975
10_loan_repay,RandomForest,4,0.5319704741631596
10_loan_repay,RandomForest,5,0.5929254340531719
10_loan_repay,RandomForest,6,0.5080695387959466
10_loan_repay,RandomForest,7,0.682011354186837
10_loan_repay,RandomForest,8,0.6134195368193222
10_loan_repay,RandomForest,9,0.5531533932757019
10_loan_repay,SVM,0,0.0898831027723761
10_loan_repay,SVM,1,0.07714200030833718
10_loan_repay,SVM,2,0.239984201574169
10_loan_repay,SVM,3,0.3418327876437628
10_loan_repay,SVM,4,0.40670971114768045
10_loan_repay,SVM,5,0.2446746690368329
10_loan_repay,SVM,6,0.26951209812265725
10_loan_repay,SVM,7,0.29094954494930336
10_loan_repay,SVM,8,0.29817506801916976
10_loan_repay,SVM,9,0.06440476981611076
10_loan_repay,TabPFN,0,0.6047744815678776
10_loan_repay,TabPFN,1,0.7228944503812192
10_loan_repay,TabPFN,2,0.5710121647110282
10_loan_repay,TabPFN,3,0.706221899423868
10_loan_repay,TabPFN,4,0.6514383681742082
10_loan_repay,TabPFN,5,0.6910141241125473
10_loan_repay,TabPFN,6,0.5374083528446263
10_loan_repay,TabPFN,7,0.7288608749881821
10_loan_repay,TabPFN,8,0.7037143186682017
10_loan_repay,TabPFN,9,0.6656844701564049
10_loan_repay,XGBoost,0,0.3861698986111935
10_loan_repay,XGBoost,1,0.3351733952979486
10_loan_repay,XGBoost,2,0.2848187611264686
10_loan_repay,XGBoost,3,0.37837118853874685
10_loan_repay,XGBoost,4,0.4596960088003981
10_loan_repay,XGBoost,5,0.5269210836226559
10_loan_repay,XGBoost,6,0.31449402303515833
10_loan_repay,XGBoost,7,0.553897468683737
10_loan_repay,XGBoost,8,0.5216305530644029
10_loan_repay,XGBoost,9,0.3743632985400569
11_bank_churn,CatBoost,0,0.5846193037469254
11_bank_churn,CatBoost,1,0.6604759208115206
11_bank_churn,CatBoost,2,0.6927214274784607
11_bank_churn,CatBoost,3,0.42887538128436686
11_bank_churn,CatBoost,4,0.5897748353361163
11_bank_churn,CatBoost,5,0.650656976557562
11_bank_churn,CatBoost,6,0.6557890739122564
11_bank_churn,CatBoost,7,0.6142177394469969
11_bank_churn,CatBoost,8,0.6874123721126632
11_bank_churn,CatBoost,9,0.6401839587474135
11_bank_churn,KNN,0,0.27611932372009024
11_bank_churn,KNN,1,0.38620164026656445
11_bank_churn,KNN,2,0.41992350370677184
11_bank_churn,KNN,3,0.0738115773133392
11_bank_churn,KNN,4,0.3010767834586729
11_bank_churn,KNN,5,0.34104387039215095
11_bank_churn,KNN,6,0.3701140382848391
11_bank_churn,KNN,7,0.23336809631113206
11_bank_churn,KNN,8,0.3267429972374485
11_bank_churn,KNN,9,0.34986328127033767
11_bank_churn,LightGBM,0,0.5552327736885373
11_bank_churn,LightGBM,1,0.6305035348907252
11_bank_churn,LightGBM,2,0.7119843682344374
11_bank_churn,LightGBM,3,0.4184237126990071
11_bank_churn,LightGBM,4,0.592376035365208
11_bank_churn,LightGBM,5,0.6245043708596661
11_bank_churn,LightGBM,6,0.6215282230786331
11_bank_churn,LightGBM,7,0.5875459163612428
11_bank_churn,LightGBM,8,0.6722654108540876
11_bank_churn,LightGBM,9,0.6163110306768306
11_bank_churn,LogReg,0,0.2784041615834816
11_bank_churn,LogReg,1,0.2402063593544765
11_bank_churn,LogReg,2,0.2308326655559467
11_bank_churn,LogReg,3,0.04513979140708887
11_bank_churn,LogReg,4,0.19436899667966986
11_bank_churn,LogReg,5,0.09580460638813786
11_bank_churn,LogReg,6,0.23940959538160098
11_bank_churn,LogReg,7,0.15851529474992146
11_bank_churn,LogReg,8,0.3364450492858378
11_bank_churn,LogReg,9,0.18123573663778644
11_bank_churn,MLP,0,0.5411487987562479
11_bank_churn,MLP,1,0.6410723746485657
11_bank_churn,MLP,2,0.6802778489609134
11_bank_churn,MLP,3,0.3938412007123651
11_bank_churn,MLP,4,0.5295957211495607
11_bank_churn,MLP,5,0.5949538011598037
11_bank_churn,MLP,6,0.6239653834662507
11_bank_churn,MLP,7,0.5584515202791639
11_bank_churn,MLP,8,0.6297410227244195
11_bank_churn,MLP,9,0.5650371556089794
11_bank_churn,RandomForest,0,0.49817041268999224
11_bank_churn,RandomForest,1,0.6136074518188762
11_bank_churn,RandomForest,2,0.6582848198861151
11_bank_churn,RandomForest,3,0.3981765340941852
11_bank_churn,RandomForest,4,0.5469487717940876
11_bank_churn,RandomForest,5,0.575362781120878
11_bank_churn,RandomForest,6,0.5773546910530655
11_bank_churn,RandomForest,7,0.5809485209683375
11_bank_churn,RandomForest,8,0.6386904307351152
11_bank_churn,RandomForest,9,0.5764679369314457
11_bank_churn,SVM,0,0.4202633001069684
11_bank_churn,SVM,1,0.5095594506552054
11_bank_churn,SVM,2,0.5453200924965925
11_bank_churn,SVM,3,0.2262395555946678
11_bank_churn,SVM,4,0.39962945663295685
11_bank_churn,SVM,5,0.4573714104318954
11_bank_churn,SVM,6,0.47466587549018086
11_bank_churn,SVM,7,0.4121210552632742
11_bank_churn,SVM,8,0.48469240458522694
11_bank_churn,SVM,9,0.43785207330191195
11_bank_churn,TabPFN,0,0.6396897548132829
11_bank_churn,TabPFN,1,0.706922573583232
11_bank_churn,TabPFN,2,0.7342234567714473
11_bank_churn,TabPFN,3,0.47419719080025463
11_bank_churn,TabPFN,4,0.6412012629382954
11_bank_churn,TabPFN,5,0.666299328083857
11_bank_churn,TabPFN,6,0.6975137284329583
11_bank_churn,TabPFN,7,0.6269656478354259
11_bank_churn,TabPFN,8,0.711226499867801
11_bank_churn,TabPFN,9,0.6349860108620944
11_bank_churn,XGBoost,0,0.5006075730776094
11_bank_churn,XGBoost,1,0.5633644530587607
11_bank_churn,XGBoost,2,0.6421034809664039
11_bank_churn,XGBoost,3,0.3177033728338137
11_bank_churn,XGBoost,4,0.47895434040300816
11_bank_churn,XGBoost,5,0.5608569899676543
11_bank_churn,XGBoost,6,0.5599899232912904
11_bank_churn,XGBoost,7,0.5180439435055081
11_bank_churn,XGBoost,8,0.6288942981820145
11_bank_churn,XGBoost,9,0.5924145824800708
1_german_credit,CatBoost,0,0.6176540876741328
1_german_credit,CatBoost,1,0.6837198145483422
1_german_credit,CatBoost,2,0.5002039065644267
1_german_credit,CatBoost,3,0.4323030206103784
1_german_credit,CatBoost,4,0.6708737009894682
1_german_credit,CatBoost,5,0.5956321787160627
1_german_credit,CatBoost,6,0.7057417235064118
1_german_credit,CatBoost,7,0.749785541422551
1_german_credit,CatBoost,8,0.5075445428837836
1_german_credit,CatBoost,9,0.3405450666184202
1_german_credit,KNN,0,0.3139352599607531
1_german_credit,KNN,1,0.44239639554949334
1_german_credit,KNN,2,0.3818361459148014
1_german_credit,KNN,3,0.016639489026810228
1_german_credit,KNN,4,0.0
1_german_credit,KNN,5,0.1662049540337013
1_german_credit,KNN,6,0.6360056784725242
1_german_credit,KNN,7,0.47818199760635705
1_german_credit,KNN,8,0.21300151056959918
1_german_credit,KNN,9,0.00838127316753375
1_german_credit,LightGBM,0,0.632335360312846
1_german_credit,LightGBM,1,0.5185554973628186
1_german_credit,LightGBM,2,0.3919295208539168
1_german_credit,LightGBM,3,0.28916061238292445
1_german_credit,LightGBM,4,0.6268298830733284
