ds,method,split_number,normalized
10_loan_repay,CatBoost,0,0.8791722504441056
10_loan_repay,CatBoost,1,0.6809800705730333
10_loan_repay,CatBoost,2,0.8126432240221257
10_loan_repay,CatBoost,3,0.7340325836216843
10_loan_repay,CatBoost,4,0.9862385321100902
10_loan_repay,CatBoost,5,0.9753951791717325
10_loan_repay,CatBoost,6,0.7993803253292026
10_loan_repay,CatBoost,7,1.0
10_loan_repay,CatBoost,8,0.8988550374390863
10_loan_repay,CatBoost,9,0.914707139803335
10_loan_repay,KNN,0,0.16159192196216657
10_loan_repay,KNN,1,0.5432632572933748
10_loan_repay,KNN,2,0.0
10_loan_repay,KNN,3,0.0
10_loan_repay,KNN,4,0.0
10_loan_repay,KNN,5,0.40301122952578544
10_loan_repay,KNN,6,0.08264315080736478
10_loan_repay,KNN,7,0.22509915913057296
10_loan_repay,KNN,8,0.042549819737727416
10_loan_repay,KNN,9,0.21069367250961968
10_loan_repay,LightGBM,0,0.6542213357434474
10_loan_repay,LightGBM,1,0.710451766810794
10_loan_repay,LightGBM,2,0.5480837613591456
10_loan_repay,LightGBM,3,0.8213307381776244
10_loan_repay,LightGBM,4,0.7472023389454572
10_loan_repay,LightGBM,5,0.8277662542021305
10_loan_repay,LightGBM,6,0.900673300363462
10_loan_repay,LightGBM,7,0.6518483261938756
10_loan_repay,LightGBM,8,0.8665266827780203
10_loan_repay,LightGBM,9,0.8458743052586578
10_loan_repay,LogReg,0,0.7755788948795469
10_loan_repay,LogReg,1,0.9550221161970077
10_loan_repay,LogReg,2,1.0
10_loan_repay,LogReg,3,0.8855608419838532
10_loan_repay,LogReg,4,0.9998487750781317
10_loan_repay,LogReg,5,0.9631642943995418
10_loan_repay,LogReg,6,0.834058273252696
10_loan_repay,LogReg,7,0.6925908297636039
10_loan_repay,LogReg,8,0.9523394477239409
10_loan_repay,LogReg,9,0.9217079948696024
10_loan_repay,MLP,0,0.7211020039268248
10_loan_repay,MLP,1,0.4746781969087023
10_loan_repay,MLP,2,0.6614776768075856
10_loan_repay,MLP,3,0.9903762975778552
10_loan_repay,MLP,4,0.5264139530194575
10_loan_repay,MLP,5,0.9583005507474424
10_loan_repay,MLP,6,0.6830721563486867
10_loan_repay,MLP,7,0.7566872917658262
10_loan_repay,MLP,8,0.816845608335644
10_loan_repay,MLP,9,0.9449016673792219
