ds,method,split_number,rank_score
10_loan_repay,CatBoost,0,0.8888888888888888
10_loan_repay,CatBoost,1,0.5555555555555556
10_loan_repay,CatBoost,2,0.7777777777777778
10_loan_repay,CatBoost,3,0.4444444444444444
10_loan_repay,CatBoost,4,0.7777777777777778
10_loan_repay,CatBoost,5,0.8888888888888888
10_loan_repay,CatBoost,6,0.5555555555555556
10_loan_repay,CatBoost,7,1.0
10_loan_repay,CatBoost,8,0.7777777777777778
10_loan_repay,CatBoost,9,0.6666666666666666
10_loan_repay,KNN,0,0.2222222222222222
10_loan_repay,KNN,1,0.4444444444444444
10_loan_repay,KNN,2,0.1111111111111111
10_loan_repay,KNN,3,0.1111111111111111
10_loan_repay,KNN,4,0.1111111111111111
10_loan_repay,KNN,5,0.2222222222222222
10_loan_repay,KNN,6,0.2222222222222222
10_loan_repay,KNN,7,0.2222222222222222
10_loan_repay,KNN,8,0.2222222222222222
10_loan_repay,KNN,9,0.2222222222222222
10_loan_repay,LightGBM,0,0.4444444444444444
10_loan_repay,LightGBM,1,0.6666666666666666
10_loan_repay,LightGBM,2,0.4444444444444444
10_loan_repay,LightGBM,3,0.6666666666666666
10_loan_repay,LightGBM,4,0.6666666666666666
10_loan_repay,LightGBM,5,0.5555555555555556
10_loan_repay,LightGBM,6,0.8888888888888888
10_loan_repay,LightGBM,7,0.4444444444444444
10_loan_repay,LightGBM,8,0.6666666666666666
10_loan_repay,LightGBM,9,0.5555555555555556
10_loan_repay,LogReg,0,0.6666666666666666
10_loan_repay,LogReg,1,0.8888888888888888
10_loan_repay,LogReg,2,1.0
10_loan_repay,LogReg,3,0.7777777777777778
10_loan_repay,LogReg,4,0.8888888888888888
10_loan_repay,LogReg,5,0.7777777777777778
10_loan_repay,LogReg,6,0.6666666666666666
10_loan_repay,LogReg,7,0.5555555555555556
10_loan_repay,LogReg,8,0.8888888888888888
10_loan_repay,LogReg,9,0.7777777777777778
10_loan_repay,MLP,0,0.5555555555555556
10_loan_repay,MLP,1,0.3333333333333333
10_loan_repay,MLP,2,0.6666666666666666
10_loan_repay,MLP,3,0.8888888888888888
10_loan_repay,MLP,4,0.4444444444444444
10_loan_repay,MLP,5,0.6666666666666666
10_loan_repay,MLP,6,0.4444444444444444
10_loan_repay,MLP,7,0.6666666666666666
10_loan_repay,MLP,8,0.5555555555555556
10_loan_repay,MLP,9,0.8888888888888888
10_loan_repay,RandomForest,0,0.7777777777777778
10_loan_repay,RandomForest,1,0.7777777777777778
10_loan_repay,RandomForest,2,0.5555555555555556
10_loan_repay,RandomForest,3,0.5555555555555556
10_loan_repay,RandomForest,4,0.5555555555555556
10_loan_repay,RandomForest,5,0.4444444444444444
10_loan_repay,RandomForest,6,0.7777777777777778
10_loan_repay,RandomForest,7,0.7777777777777778
10_loan_repay,RandomForest,8,0.4444444444444444
10_loan_repay,RandomForest,9,0.4444444444444444
10_loan_repay,SVM,0,0.1111111111111111
10_loan_repay,SVM,1,0.1111111111111111
10_loan_repay,SVM,2,0.2222222222222222
10_loan_repay,SVM,3,0.2222222222222222
10_loan_repay,SVM,4,0.2222222222222222
10_loan_repay,SVM,5,0.1111111111111111
10_loan_repay,SVM,6,0.1111111111111111
10_loan_repay,SVM,7,0.1111111111111111
10_loan_repay,SVM,8,0.1111111111111111
10_loan_repay,SVM,9,0.1111111111111111
10_loan_repay,TabPFN,0,1.0
10_loan_repay,TabPFN,1,1.0
10_loan_repay,TabPFN,2,0.8888888888888888
10_loan_repay,TabPFN,3,1.0
10_loan_repay,TabPFN,4,1.0
10_loan_repay,TabPFN,5,1.0
10_loan_repay,TabPFN,6,1.0
10_loan_repay,TabPFN,7,0.8888888888888888
10_loan_repay,TabPFN,8,1.0
10_loan_repay,TabPFN,9,1.0
10_loan_repay,XGBoost,0,0.3333333333333333
10_loan_repay,XGBoost,1,0.2222222222222222
10_loan_repay,XGBoost,2,0.3333333333333333
10_loan_repay,XGBoost,3,0.3333333333333333
10_loan_repay,XGBoost,4,0.3333333333333333
10_loan_repay,XGBoost,5,0.3333333333333333
10_loan_repay,XGBoost,6,0.3333333333333333
10_loan_repay,XGBoost,7,0.3333333333333333
10_loan_repay,XGBoost,8,0.3333333333333333
10_loan_repay,XGBoost,9,0.3333333333333333
11_bank_churn,CatBoost,0,0.8888888888888888
11_bank_churn,CatBoost,1,0.8888888888888888
11_bank_churn,CatBoost,2,0.7777777777777778
11_bank_churn,CatBoost,3,0.8888888888888888
11_bank_churn,CatBoost,4,0.7777777777777778
11_bank_churn,CatBoost,5,0.8888888888888888
11_bank_churn,CatBoost,6,0.8888888888888888
11_bank_churn,CatBoost,7,0.8888888888888888
11_bank_churn,CatBoost,8,0.8888888888888888
11_bank_churn,CatBoost,9,1.0
11_bank_churn,KNN,0,0.1111111111111111
11_bank_churn,KNN,1,0.2222222222222222
11_bank_churn,KNN,2,0.2222222222222222
11_bank_churn,KNN,3,0.2222222222222222
11_bank_churn,KNN,4,0.2222222222222222
11_bank_churn,KNN,5,0.2222222222222222
11_bank_churn,KNN,6,0.2222222222222222
11_bank_churn,KNN,7,0.2222222222222222
11_bank_churn,KNN,8,0.1111111111111111
11_bank_churn,KNN,9,0.2222222222222222
11_bank_churn,LightGBM,0,0.7777777777777778
11_bank_churn,LightGBM,1,0.6666666666666666
11_bank_churn,LightGBM,2,0.8888888888888888
11_bank_churn,LightGBM,3,0.7777777777777778
11_bank_churn,LightGBM,4,0.8888888888888888
11_bank_churn,LightGBM,5,0.7777777777777778
11_bank_churn,LightGBM,6,0.6666666666666666
11_bank_churn,LightGBM,7,0.7777777777777778
11_bank_churn,LightGBM,8,0.7777777777777778
11_bank_churn,LightGBM,9,0.7777777777777778
11_bank_churn,LogReg,0,0.2222222222222222
11_bank_churn,LogReg,1,0.1111111111111111
11_bank_churn,LogReg,2,0.1111111111111111
11_bank_churn,LogReg,3,0.1111111111111111
11_bank_churn,LogReg,4,0.1111111111111111
11_bank_churn,LogReg,5,0.1111111111111111
11_bank_churn,LogReg,6,0.1111111111111111
11_bank_churn,LogReg,7,0.1111111111111111
11_bank_churn,LogReg,8,0.2222222222222222
11_bank_churn,LogReg,9,0.1111111111111111
11_bank_churn,MLP,0,0.6666666666666666
11_bank_churn,MLP,1,0.7777777777777778
11_bank_churn,MLP,2,0.6666666666666666
11_bank_churn,MLP,3,0.5555555555555556
11_bank_churn,MLP,4,0.5555555555555556
11_bank_churn,MLP,5,0.6666666666666666
11_bank_churn,MLP,6,0.7777777777777778
11_bank_churn,MLP,7,0.5555555555555556
11_bank_churn,MLP,8,0.5555555555555556
11_bank_churn,MLP,9,0.4444444444444444
11_bank_churn,RandomForest,0,0.4444444444444444
11_bank_churn,RandomForest,1,0.5555555555555556
11_bank_churn,RandomForest,2,0.5555555555555556
11_bank_churn,RandomForest,3,0.6666666666666666
11_bank_churn,RandomForest,4,0.6666666666666666
11_bank_churn,RandomForest,5,0.5555555555555556
11_bank_churn,RandomForest,6,0.5555555555555556
11_bank_churn,RandomForest,7,0.6666666666666666
11_bank_churn,RandomForest,8,0.6666666666666666
11_bank_churn,RandomForest,9,0.5555555555555556
11_bank_churn,SVM,0,0.3333333333333333
11_bank_churn,SVM,1,0.3333333333333333
