ds,method,split_number,normalized
12_real_estate,Linear,0,0.0
12_real_estate,Linear,1,0.5866695654758511
12_real_estate,Linear,2,0.03343884853387191
12_real_estate,Linear,3,0.8043148872121488
12_real_estate,Linear,4,0.17147300497888707
12_real_estate,Linear,5,0.09897155349760212
12_real_estate,Linear,6,0.3473686026155617
12_real_estate,Linear,7,0.15093949179232646
12_real_estate,Linear,8,0.422125086082043
12_real_estate,Linear,9,0.3672855675066523
12_real_estate,Ridge,0,0.004776869189870636
12_real_estate,Ridge,1,0.5845464739009267
12_real_estate,Ridge,2,0.03449601104214417
12_real_estate,Ridge,3,0.8061840612492552
12_real_estate,Ridge,4,0.17180785098298723
12_real_estate,Ridge,5,0.10002260101366611
12_real_estate,Ridge,6,0.34465714959853777
12_real_estate,Ridge,7,0.15197076673817045
12_real_estate,Ridge,8,0.4225042326434303
12_real_estate,Ridge,9,0.364261131609493
12_real_estate,Lasso,0,0.03572439073136002
12_real_estate,Lasso,1,0.35244322773495407
12_real_estate,Lasso,2,0.00884244091057984
12_real_estate,Lasso,3,0.7781242290478856
12_real_estate,Lasso,4,0.07549202953495071
12_real_estate,Lasso,5,0.30459601080259846
12_real_estate,Lasso,6,0.19823324082820892
12_real_estate,Lasso,7,0.05325393277283519
12_real_estate,Lasso,8,0.30263839519343594
12_real_estate,Lasso,9,0.23389202652212981
12_real_estate,ElasticNet,0,0.0008222946879498094
12_real_estate,ElasticNet,1,0.12090190638479059
12_real_estate,ElasticNet,2,0.0
12_real_estate,ElasticNet,3,0.7801619266113925
12_real_estate,ElasticNet,4,0.0
12_real_estate,ElasticNet,5,0.1319199960160491
12_real_estate,ElasticNet,6,0.0
12_real_estate,ElasticNet,7,0.0
12_real_estate,ElasticNet,8,0.24779178244266697
12_real_estate,ElasticNet,9,0.0
12_real_estate,KNN,0,0.8013448119043731
12_real_estate,KNN,1,0.6987701715216508
12_real_estate,KNN,2,0.25023306673560786
12_real_estate,KNN,3,1.0
12_real_estate,KNN,4,0.6530629663395
12_real_estate,KNN,5,0.0
12_real_estate,KNN,6,0.3637848169221596
12_real_estate,KNN,7,0.46614434738609467
12_real_estate,KNN,8,0.42698780363389655
12_real_estate,KNN,9,0.5976960450046562
12_real_estate,RandomForest,0,1.0
12_real_estate,RandomForest,1,0.7471569189283787
12_real_estate,RandomForest,2,0.8548745708751695
12_real_estate,RandomForest,3,0.4127163497398092
12_real_estate,RandomForest,4,0.9582538526471918
12_real_estate,RandomForest,5,0.4709636281650219
12_real_estate,RandomForest,6,0.9086668736456645
12_real_estate,RandomForest,7,0.8507992322436915
12_real_estate,RandomForest,8,0.9613693285101943
12_real_estate,RandomForest,9,1.0
12_real_estate,SVR,0,0.012986297240629496
12_real_estate,SVR,1,0.5613876158563335
12_real_estate,SVR,2,0.27441518740216975
12_real_estate,SVR,3,0.8112514875724199
12_real_estate,SVR,4,0.0645138730986814
12_real_estate,SVR,5,0.15365187657525725
12_real_estate,SVR,6,0.21468650960775693
12_real_estate,SVR,7,0.26324501073979323
12_real_estate,SVR,8,0.5381511180432599
12_real_estate,SVR,9,0.29382591103744604
12_real_estate,MLP,0,0.12091917116659667
12_real_estate,MLP,1,0.6183160501860356
12_real_estate,MLP,2,0.3870897314963062
12_real_estate,MLP,3,0.59262364403912
12_real_estate,MLP,4,0.5687550192273664
12_real_estate,MLP,5,0.5267285206576107
12_real_estate,MLP,6,0.5233181543233173
12_real_estate,MLP,7,0.5858025155070145
12_real_estate,MLP,8,0.6599949242450014
12_real_estate,MLP,9,0.737628730669663
12_real_estate,XGBoost,0,0.7267700832749828
12_real_estate,XGBoost,1,0.0
12_real_estate,XGBoost,2,1.0
12_real_estate,XGBoost,3,0.0
12_real_estate,XGBoost,4,0.6545624250136046
12_real_estate,XGBoost,5,0.4165236679598967
12_real_estate,XGBoost,6,0.6094673031747228
12_real_estate,XGBoost,7,0.808898897702946
12_real_estate,XGBoost,8,0.0
12_real_estate,XGBoost,9,0.21780754261856383
12_real_estate,LightGBM,0,0.9846726019216727
12_real_estate,LightGBM,1,1.0
12_real_estate,LightGBM,2,0.6945534610393345
12_real_estate,LightGBM,3,0.48800296427762313
12_real_estate,LightGBM,4,0.8693702851441171
12_real_estate,LightGBM,5,0.8278887573155977
12_real_estate,LightGBM,6,1.0
12_real_estate,LightGBM,7,1.0
