ds,method,split_number,normalized
12_real_estate,Linear,0,0.0
12_real_estate,Linear,1,0.6195351859266593
12_real_estate,Linear,2,0.04069210086941564
12_real_estate,Linear,3,0.8285272723534144
12_real_estate,Linear,4,0.20073897632982343
12_real_estate,Linear,5,0.10822565962454737
12_real_estate,Linear,6,0.3739676619201351
12_real_estate,Linear,7,0.17372068868123472
12_real_estate,Linear,8,0.4905169649719926
12_real_estate,Linear,9,0.38306350364615116
12_real_estate,Ridge,0,0.005406653028642295
12_real_estate,Ridge,1,0.6174613622533364
12_real_estate,Ridge,2,0.041970389553314176
12_real_estate,Ridge,3,0.8302209014408161
12_real_estate,Ridge,4,0.20111912099010104
12_real_estate,Ridge,5,0.10936407337588513
12_real_estate,Ridge,6,0.37115823188009683
12_real_estate,Ridge,7,0.1748797540099674
12_real_estate,Ridge,8,0.49091262756564713
12_real_estate,Ridge,9,0.3799839423529887
12_real_estate,Lasso,0,0.0402878451213995
12_real_estate,Lasso,1,0.38337593356526734
12_real_estate,Lasso,2,0.010809271710002916
12_real_estate,Lasso,3,0.8046832766491215
12_real_estate,Lasso,4,0.08986916226258015
12_real_estate,Lasso,5,0.3265769869549281
12_real_estate,Lasso,6,0.2168812416892811
12_real_estate,Lasso,7,0.06221624785898383
12_real_estate,Lasso,8,0.3618097603093122
12_real_estate,Lasso,9,0.2460579194252569
12_real_estate,ElasticNet,0,0.0009311370408497328
12_real_estate,ElasticNet,1,0.135307175597661
12_real_estate,ElasticNet,2,0.0
12_real_estate,ElasticNet,3,0.8065459692903975
12_real_estate,ElasticNet,4,0.0
12_real_estate,ElasticNet,5,0.14380381336398515
12_real_estate,ElasticNet,6,0.0
12_real_estate,ElasticNet,7,0.0
12_real_estate,ElasticNet,8,0.3000499893855415
12_real_estate,ElasticNet,9,0.0
12_real_estate,KNN,0,0.8224333776029918
12_real_estate,KNN,1,0.7272989531208902
12_real_estate,KNN,2,0.29233704357050966
12_real_estate,KNN,3,1.0
12_real_estate,KNN,4,0.6997360224268478
12_real_estate,KNN,5,0.0
12_real_estate,KNN,6,0.39094022610358004
12_real_estate,KNN,7,0.510380696872162
12_real_estate,KNN,8,0.49558539504027643
12_real_estate,KNN,9,0.6140217999763888
12_real_estate,RandomForest,0,1.0
12_real_estate,RandomForest,1,0.7727612708788576
12_real_estate,RandomForest,2,0.882716418501494
12_real_estate,RandomForest,3,0.4500029909345786
12_real_estate,RandomForest,4,0.9664944272791826
12_real_estate,RandomForest,5,0.49681945830185376
12_real_estate,RandomForest,6,0.9184042234616285
12_real_estate,RandomForest,7,0.8733641190904216
12_real_estate,RandomForest,8,0.9717817574510057
12_real_estate,RandomForest,9,1.0
12_real_estate,SVR,0,0.014684291520917497
12_real_estate,SVR,1,0.5947605667584256
12_real_estate,SVR,2,0.31909881915442934
