ds,method,normalized
12_real_estate,CatBoost,0.9064016757334145
12_real_estate,ElasticNet,0.0
12_real_estate,KNN,0.5242833633236272
12_real_estate,Lasso,0.1260692027473399
12_real_estate,LightGBM,0.9144668028142224
12_real_estate,Linear,0.22837940068262816
12_real_estate,MLP,0.5712230610399298
12_real_estate,RandomForest,0.932934795705804
12_real_estate,Ridge,0.22906209128266858
12_real_estate,SVR,0.30914639906437574
12_real_estate,TabPFNReg,1.0
12_real_estate,XGBoost,0.4010427930379281
13_boston_housing,CatBoost,0.9975335770303166
13_boston_housing,ElasticNet,0.9800139710300108
13_boston_housing,KNN,0.9964202556013282
13_boston_housing,Lasso,0.9830232581737645
13_boston_housing,LightGBM,0.9960090750256667
13_boston_housing,Linear,0.9830233265113918
13_boston_housing,MLP,0.0
13_boston_housing,RandomForest,0.9969888945667578
13_boston_housing,Ridge,0.9830298417599345
13_boston_housing,SVR,0.9006241147574893
13_boston_housing,TabPFNReg,1.0
13_boston_housing,XGBoost,0.9924548849859444
14_house_prices,CatBoost,0.999300831199371
14_house_prices,ElasticNet,0.9730134391330318
14_house_prices,KNN,0.9961069235249644
14_house_prices,Lasso,0.9999999998981098
14_house_prices,LightGBM,0.9984556949099047
14_house_prices,Linear,1.0
14_house_prices,MLP,0.0
14_house_prices,RandomForest,0.9970156165028387
14_house_prices,Ridge,0.999999998219847
14_house_prices,SVR,0.7645592764500466
14_house_prices,TabPFNReg,0.9999156182956453
14_house_prices,XGBoost,0.9968713672089908
15_ames_housing,CatBoost,0.9904906634135912
15_ames_housing,ElasticNet,0.9005040767587358
15_ames_housing,KNN,0.8555978312632432
15_ames_housing,Lasso,0.9007251381253433
15_ames_housing,LightGBM,0.9697396598497566
15_ames_housing,Linear,0.9006078952264902
15_ames_housing,MLP,0.6143293753877275
15_ames_housing,RandomForest,0.9576314137772332
15_ames_housing,Ridge,0.9015170763796339
15_ames_housing,SVR,0.0
15_ames_housing,TabPFNReg,1.0
15_ames_housing,XGBoost,0.9672023450464413
16_mhm,CatBoost,0.9910374741199971
16_mhm,ElasticNet,0.6274321174668924
16_mhm,KNN,0.6706266377615682
16_mhm,Lasso,0.6668517480855808
16_mhm,LightGBM,0.9832025807262365
16_mhm,Linear,0.6668467890605456
16_mhm,MLP,0.0
16_mhm,RandomForest,0.9565003019363217
16_mhm,Ridge,0.6668602726024464
16_mhm,SVR,0.19759150113405638
16_mhm,TabPFNReg,1.0
16_mhm,XGBoost,0.9668321196677866
17_texas,CatBoost,0.8595433044892435
17_texas,ElasticNet,0.9620245899562375
17_texas,KNN,0.9347508115753609
17_texas,Lasso,0.8681105000559072
17_texas,LightGBM,0.9819483591606659
17_texas,Linear,0.8681074531724722
17_texas,MLP,0.9676605299490623
17_texas,RandomForest,0.9581799381874756
