ds,method,normalized
12_real_estate,CatBoost,0.8785007273986087
12_real_estate,ElasticNet,0.0
12_real_estate,KNN,0.5006300753571493
12_real_estate,Lasso,0.11436667992824823
12_real_estate,LightGBM,0.9197407597516147
12_real_estate,Linear,0.20686019768087938
12_real_estate,MLP,0.5414555506636962
12_real_estate,RandomForest,0.9460499574029023
12_real_estate,Ridge,0.20742330791368413
12_real_estate,SVR,0.26966386847854096
12_real_estate,TabPFNReg,1.0
12_real_estate,XGBoost,0.4439050693003974
13_boston_housing,CatBoost,0.9903248083750675
13_boston_housing,ElasticNet,0.9280988371518696
13_boston_housing,KNN,0.9863730086130473
13_boston_housing,Lasso,0.9386649039168751
13_boston_housing,LightGBM,0.9825365748178954
13_boston_housing,Linear,0.9386650797503753
13_boston_housing,MLP,0.0
13_boston_housing,RandomForest,0.9867672087258621
13_boston_housing,Ridge,0.9386750245198032
13_boston_housing,SVR,0.7558137426119464
13_boston_housing,TabPFNReg,1.0
13_boston_housing,XGBoost,0.9707782051873157
14_house_prices,CatBoost,0.9962565865063225
14_house_prices,ElasticNet,0.8986563211365465
14_house_prices,KNN,0.9804730037623812
14_house_prices,Lasso,0.9999999958258694
14_house_prices,LightGBM,0.9919228942615443
14_house_prices,Linear,1.0
14_house_prices,MLP,0.0
14_house_prices,RandomForest,0.9848012092229483
14_house_prices,Ridge,0.9999999733176489
14_house_prices,SVR,0.5636449760563019
14_house_prices,TabPFNReg,0.9995430801400307
14_house_prices,XGBoost,0.9841259467445339
15_ames_housing,CatBoost,0.9767685559742679
15_ames_housing,ElasticNet,0.8073632187881072
15_ames_housing,KNN,0.7384446071816825
15_ames_housing,Lasso,0.8109333070154264
15_ames_housing,LightGBM,0.9287086516360259
15_ames_housing,Linear,0.8107725919235226
15_ames_housing,MLP,0.46089798986959174
15_ames_housing,RandomForest,0.9045540760436888
15_ames_housing,Ridge,0.812167802927093
15_ames_housing,SVR,0.0
15_ames_housing,TabPFNReg,1.0
15_ames_housing,XGBoost,0.9253955004544722
16_mhm,CatBoost,0.9843704796885707
16_mhm,ElasticNet,0.5219026660843682
16_mhm,KNN,0.5586698827896068
16_mhm,Lasso,0.5721870567334215
16_mhm,LightGBM,0.9706046335025704
16_mhm,Linear,0.572183782917314
16_mhm,MLP,0.0
16_mhm,RandomForest,0.926676202809084
16_mhm,Ridge,0.5721922461811046
16_mhm,SVR,0.13904597704570953
16_mhm,TabPFNReg,1.0
16_mhm,XGBoost,0.942707541873648
17_texas,CatBoost,0.6835412763231864
17_texas,ElasticNet,0.859015478699708
17_texas,KNN,0.6531728080040617
17_texas,Lasso,0.7339928412545798
17_texas,LightGBM,0.873117112239821
17_texas,Linear,0.7339880921470894
17_texas,MLP,0.760236275227482
17_texas,RandomForest,0.8588005905766749
17_texas,Ridge,0.7353058142248536
17_texas,SVR,0.93716124630085
17_texas,TabPFNReg,1.0
17_texas,XGBoost,0.0
18_california,CatBoost,0.9550853081454587
18_california,ElasticNet,0.558622852607951
18_california,KNN,0.7640441530549161
18_california,Lasso,0.6932936961845206
18_california,LightGBM,0.9339781265968511
18_california,Linear,0.6932933872957554
18_california,MLP,0.0
18_california,RandomForest,0.9021716371259939
18_california,Ridge,0.6932954334286929
18_california,SVR,0.1502377913766152
18_california,TabPFNReg,1.0
18_california,XGBoost,0.9279169374342118
19_housing_yasser,CatBoost,0.9911980208376312
19_housing_yasser,ElasticNet,0.9756080676102278
19_housing_yasser,KNN,0.9735362952531934
19_housing_yasser,Lasso,0.995250495563202
19_housing_yasser,LightGBM,0.9838165653537726
19_housing_yasser,Linear,0.9952504561259815
19_housing_yasser,MLP,0.0
19_housing_yasser,RandomForest,0.9833655892614738
19_housing_yasser,Ridge,0.9953810949032961
19_housing_yasser,SVR,0.8017263097838818
19_housing_yasser,TabPFNReg,1.0
19_housing_yasser,XGBoost,0.9680991057405587
20_bangalore,CatBoost,0.8799546373336637
20_bangalore,ElasticNet,0.6799906117081607
20_bangalore,KNN,0.8541336359551823
20_bangalore,Lasso,0.7381620933291717
20_bangalore,LightGBM,0.9580887463823515
20_bangalore,Linear,0.7403393343135842
20_bangalore,MLP,0.0
20_bangalore,RandomForest,0.6702295342941489
20_bangalore,Ridge,0.7406340858414923
20_bangalore,SVR,0.39603504747990337
20_bangalore,TabPFNReg,1.0
20_bangalore,XGBoost,0.7687841036004965
21_delhi,CatBoost,0.32670674133147937
21_delhi,ElasticNet,0.912970541778761
21_delhi,KNN,0.7314820172645111
21_delhi,Lasso,0.9996219181245966
21_delhi,LightGBM,0.9585908752471255
21_delhi,Linear,0.9991242882477006
21_delhi,MLP,0.0
21_delhi,RandomForest,0.5685832780382536
21_delhi,Ridge,1.0
21_delhi,SVR,0.1601396524849793
21_delhi,TabPFNReg,0.7165496625674708
21_delhi,XGBoost,0.014539779600759695
23_spp,CatBoost,0.7531559754508601
23_spp,ElasticNet,1.0
23_spp,KNN,0.81023694914131
23_spp,Lasso,0.9976232876739236
23_spp,LightGBM,0.8265504910575221
23_spp,Linear,0.9930974399759872
23_spp,MLP,0.0
23_spp,RandomForest,0.7553137892046085
23_spp,Ridge,0.9976613556642149
23_spp,SVR,0.9716633061872465
23_spp,TabPFNReg,0.9962338704463516
23_spp,XGBoost,0.7514832350352606
24_mutual_funds,CatBoost,0.9686515157409588
24_mutual_funds,ElasticNet,0.8766157224195641
24_mutual_funds,KNN,0.731983310678803
24_mutual_funds,Lasso,0.885368744672688
24_mutual_funds,LightGBM,0.9603622317551919
24_mutual_funds,Linear,0.9154739365664868
24_mutual_funds,MLP,0.0
24_mutual_funds,RandomForest,0.957636850248571
24_mutual_funds,Ridge,0.9158859246918905
24_mutual_funds,SVR,0.7202673367797721
24_mutual_funds,TabPFNReg,1.0
24_mutual_funds,XGBoost,0.9523812693541521
25_tesla,CatBoost,0.9347043479463643
25_tesla,ElasticNet,0.0
25_tesla,KNN,0.6873942007339724
25_tesla,Lasso,0.909996949129527
25_tesla,LightGBM,0.9548297925266398
25_tesla,Linear,1.0
25_tesla,MLP,0.753202149496988
25_tesla,RandomForest,0.9628139699152412
25_tesla,Ridge,0.9646789628317131
25_tesla,SVR,0.1648798451692841
25_tesla,TabPFNReg,0.9971052159742735
25_tesla,XGBoost,0.9323434469643529
26_sandp,CatBoost,0.9117953700720584
26_sandp,ElasticNet,0.860595811388122
26_sandp,KNN,0.8907678700337908
26_sandp,Lasso,0.9885964052435762
26_sandp,LightGBM,0.8538633518519313
26_sandp,Linear,1.0
26_sandp,MLP,0.9924373033926077
26_sandp,RandomForest,0.9855314526906782
26_sandp,Ridge,0.9979517577511634
26_sandp,SVR,0.0
26_sandp,TabPFNReg,0.7251690578122588
26_sandp,XGBoost,0.9111954064411364
28_gs,CatBoost,0.935984359792931
28_gs,ElasticNet,0.014468139143008374
28_gs,KNN,0.8259345744996105
28_gs,Lasso,0.8558614371511235
28_gs,LightGBM,0.9501265079094979
28_gs,Linear,0.9636742820825402
28_gs,MLP,1.0
28_gs,RandomForest,0.9631767901022619
28_gs,Ridge,0.9506913292163175
28_gs,SVR,0.0
28_gs,TabPFNReg,0.9297840396575945
28_gs,XGBoost,0.9280167332364017
29_yahoo,CatBoost,0.9987518619826364
29_yahoo,ElasticNet,0.9857487815484435
29_yahoo,KNN,0.9942564683754244
29_yahoo,Lasso,0.9999623900942061
29_yahoo,LightGBM,0.9981539911828582
29_yahoo,Linear,0.9999481605574816
29_yahoo,MLP,0.0
29_yahoo,RandomForest,0.9986532962842124
29_yahoo,Ridge,0.9999235815922961
29_yahoo,SVR,0.8687337474715526
29_yahoo,TabPFNReg,1.0
29_yahoo,XGBoost,0.9980884393065725
30_netflix,CatBoost,0.9848070478745228
30_netflix,ElasticNet,0.8622603937792737
30_netflix,KNN,0.9535050654129132
30_netflix,Lasso,0.9891296762448901
30_netflix,LightGBM,0.9831473240869931
30_netflix,Linear,1.0
30_netflix,MLP,0.0
30_netflix,RandomForest,0.9876219182789163
30_netflix,Ridge,0.9947258317416674
30_netflix,SVR,0.6790018316027705
30_netflix,TabPFNReg,0.9995610444557185
30_netflix,XGBoost,0.9835326056708322
