ds,method,split_number,normalized
23_spp,Linear,0,0.9967198944073834
23_spp,Linear,1,1.0
23_spp,Linear,2,0.9585787314257372
23_spp,Linear,3,0.9766081678400513
23_spp,Linear,4,0.9928998860005119
23_spp,Linear,5,0.9843896728934539
23_spp,Linear,6,0.9904202225837367
23_spp,Linear,7,0.9978639070404731
23_spp,Linear,8,0.94797225636728
23_spp,Linear,9,0.990210586135967
23_spp,Ridge,0,0.9978267013529949
23_spp,Ridge,1,0.9999761171423006
23_spp,Ridge,2,0.9667135673424666
23_spp,Ridge,3,0.9767991465312139
23_spp,Ridge,4,1.0
23_spp,Ridge,5,0.9852004045918296
23_spp,Ridge,6,0.9924511547300404
23_spp,Ridge,7,1.0
23_spp,Ridge,8,0.9483494566199508
23_spp,Ridge,9,1.0
23_spp,Lasso,0,0.9978891467215166
23_spp,Lasso,1,0.9995845973394472
23_spp,Lasso,2,0.9665372644206907
23_spp,Lasso,3,0.9771609431398636
23_spp,Lasso,4,0.9998465713876188
23_spp,Lasso,5,0.9853819195807465
23_spp,Lasso,6,0.9920960112129505
23_spp,Lasso,7,0.9999171485733352
23_spp,Lasso,8,0.9488989280381687
23_spp,Lasso,9,0.9997993103202845
23_spp,ElasticNet,0,1.0
23_spp,ElasticNet,1,0.9847531380314374
23_spp,ElasticNet,2,0.9807920424246123
23_spp,ElasticNet,3,0.9884374320264064
23_spp,ElasticNet,4,0.9935360670161686
23_spp,ElasticNet,5,0.9920778794343236
23_spp,ElasticNet,6,0.9867030178088472
23_spp,ElasticNet,7,0.990430818077324
23_spp,ElasticNet,8,0.975478856436338
23_spp,ElasticNet,9,0.9967018837069568
23_spp,KNN,0,0.788737699618673
23_spp,KNN,1,0.8120061256013812
23_spp,KNN,2,0.8896713807176292
23_spp,KNN,3,0.8774603572454504
23_spp,KNN,4,0.8171417251782429
23_spp,KNN,5,0.874145239337496
23_spp,KNN,6,0.8803920673467651
23_spp,KNN,7,0.8538683116726186
23_spp,KNN,8,0.8180459455874429
23_spp,KNN,9,0.8705567400786284
23_spp,RandomForest,0,0.7358301484252949
23_spp,RandomForest,1,0.7395903095799337
23_spp,RandomForest,2,0.8734890337536133
23_spp,RandomForest,3,0.7936283153674724
23_spp,RandomForest,4,0.803741967194032
23_spp,RandomForest,5,0.831505365686199
23_spp,RandomForest,6,0.8862233160886231
23_spp,RandomForest,7,0.8185008516111242
23_spp,RandomForest,8,0.7052332545560026
23_spp,RandomForest,9,0.8364200448632658
23_spp,SVR,0,0.9631232675233232
23_spp,SVR,1,0.9352924246735331
23_spp,SVR,2,0.9862250660221541
23_spp,SVR,3,1.0
23_spp,SVR,4,0.9665381156620161
23_spp,SVR,5,0.9554407940477211
23_spp,SVR,6,0.9617301914465326
23_spp,SVR,7,0.956517954327778
23_spp,SVR,8,1.0
23_spp,SVR,9,0.9647602551790181
23_spp,MLP,0,0.0
23_spp,MLP,1,0.0
23_spp,MLP,2,0.0
23_spp,MLP,3,0.0
23_spp,MLP,4,0.0
23_spp,MLP,5,0.0
23_spp,MLP,6,0.0
23_spp,MLP,7,0.0
23_spp,MLP,8,0.0
23_spp,MLP,9,0.0
23_spp,XGBoost,0,0.7389376330514961
23_spp,XGBoost,1,0.7487803339270355
23_spp,XGBoost,2,0.8644012263612779
23_spp,XGBoost,3,0.7887416841606959
23_spp,XGBoost,4,0.8025369893968157
23_spp,XGBoost,5,0.8187248690140501
23_spp,XGBoost,6,0.8885468404897551
23_spp,XGBoost,7,0.8185314746731321
23_spp,XGBoost,8,0.6907023601566109
23_spp,XGBoost,9,0.8296863541852881
23_spp,LightGBM,0,0.8158391127389681
23_spp,LightGBM,1,0.8303471827756476
23_spp,LightGBM,2,0.9020469152101571
23_spp,LightGBM,3,0.8507577972220102
23_spp,LightGBM,4,0.8614865465342797
23_spp,LightGBM,5,0.8938427341296847
23_spp,LightGBM,6,0.9340777229529639
23_spp,LightGBM,7,0.8882978140465343
23_spp,LightGBM,8,0.7509514097146824
23_spp,LightGBM,9,0.8725797921114812
23_spp,CatBoost,0,0.739896685541427
23_spp,CatBoost,1,0.7513241679381505
23_spp,CatBoost,2,0.8652410764720425
