ds,method,split_number,normalized
23_spp,Linear,0,0.9951075373890852
23_spp,Linear,1,1.0
23_spp,Linear,2,0.9432088401988482
23_spp,Linear,3,0.9634303892248928
23_spp,Linear,4,0.9897325797265226
23_spp,Linear,5,0.9780201373092343
23_spp,Linear,6,0.9859067661321285
23_spp,Linear,7,0.9967089055738797
23_spp,Linear,8,0.9265745164155891
23_spp,Linear,9,0.9860324268157026
23_spp,Ridge,0,0.9967557610245076
23_spp,Ridge,1,0.9999650756178321
23_spp,Ridge,2,0.9541646606961103
23_spp,Ridge,3,0.9637227538931066
23_spp,Ridge,4,1.0
23_spp,Ridge,5,0.9791518309012629
23_spp,Ridge,6,0.988878766483452
23_spp,Ridge,7,1.0
23_spp,Ridge,8,0.927090162452091
23_spp,Ridge,9,1.0
23_spp,Lasso,0,0.9968488327181759
23_spp,Lasso,1,0.9993927090567534
23_spp,Lasso,2,0.9539262322723139
23_spp,Lasso,3,0.9642768881735166
23_spp,Lasso,4,0.9997771190195625
23_spp,Lasso,5,0.9794053514051012
23_spp,Lasso,6,0.9883584545772491
23_spp,Lasso,7,0.9998721307591331
23_spp,Lasso,8,0.9278417187175545
23_spp,Lasso,9,0.9997119495990928
23_spp,ElasticNet,0,1.0
23_spp,ElasticNet,1,0.9779290673712804
23_spp,ElasticNet,2,0.9733486846515711
23_spp,ElasticNet,3,0.9817281682195949
23_spp,ElasticNet,4,0.9906486949413953
23_spp,ElasticNet,5,0.9887950158013645
23_spp,ElasticNet,6,0.9804887373482403
23_spp,ElasticNet,7,0.9853470070924695
23_spp,ElasticNet,8,0.9647966655770627
23_spp,ElasticNet,9,0.9952753326480374
23_spp,KNN,0,0.7223102984676949
23_spp,KNN,1,0.7532405554755922
23_spp,KNN,2,0.8538685756055592
23_spp,KNN,3,0.8229678912386469
23_spp,KNN,4,0.7603473809709576
23_spp,KNN,5,0.8329082595376074
23_spp,KNN,6,0.8358156206413132
23_spp,KNN,7,0.7968744123981704
23_spp,KNN,8,0.7608114020060175
23_spp,KNN,9,0.8271912194574975
23_spp,RandomForest,0,0.6616938932136264
23_spp,RandomForest,1,0.6696481763630586
23_spp,RandomForest,2,0.8337089422154725
23_spp,RandomForest,3,0.7178770245314244
23_spp,RandomForest,4,0.7444457452119362
23_spp,RandomForest,5,0.7807914385417011
23_spp,RandomForest,6,0.8432973341664624
23_spp,RandomForest,7,0.7530148935770447
23_spp,RandomForest,8,0.6320923934283955
23_spp,RandomForest,9,0.7852645084306571
23_spp,SVR,0,0.9462913943889686
23_spp,SVR,1,0.90918813911306
23_spp,SVR,2,0.9808299896958228
23_spp,SVR,3,1.0
23_spp,SVR,4,0.9524115284341148
23_spp,SVR,5,0.9382823606336342
23_spp,SVR,6,0.944784635406615
23_spp,SVR,7,0.9351711214461035
